,time,PressMode
317,2023-02-07 15:54:10.869,16
318,2023-02-07 19:19:22.095,8
319,2023-02-07 19:27:01.937,4
320,2023-02-07 19:28:34.305,16
321,2023-02-07 21:30:31.561,32
322,2023-02-07 21:30:32.571,8
323,2023-02-07 21:36:42.043,4
324,2023-02-07 21:38:12.403,16
325,2023-02-07 22:04:12.650,4
326,2023-02-07 22:16:47.644,16
327,2023-02-08 04:34:25.250,8
328,2023-02-08 04:41:41.990,0
329,2023-02-08 04:41:43.000,16
330,2023-02-08 04:58:29.012,4
331,2023-02-08 04:58:52.111,16
332,2023-02-08 10:48:17.937,8
333,2023-02-08 10:59:40.667,16
334,2023-02-08 11:59:47.094,4
335,2023-02-08 13:41:13.436,16
336,2023-02-08 13:45:51.540,4
337,2023-02-08 13:45:57.559,16
338,2023-02-08 13:51:16.835,8
339,2023-02-08 14:01:33.308,4
340,2023-02-08 14:02:53.628,16
341,2023-02-08 19:12:12.844,8
342,2023-02-08 19:19:01.477,0
343,2023-02-08 19:19:02.477,4
344,2023-02-08 19:19:11.517,16
345,2023-02-08 21:28:01.427,8
346,2023-02-08 21:34:07.891,0
347,2023-02-08 21:34:08.891,4
348,2023-02-08 21:35:48.290,16
349,2023-02-09 03:02:27.654,8
350,2023-02-09 03:11:11.746,16
351,2023-02-09 07:02:24.220,4
352,2023-02-09 07:03:32.490,16
353,2023-02-09 08:47:02.319,8
354,2023-02-09 08:54:32.112,16
355,2023-02-09 12:59:18.845,8
356,2023-02-09 13:07:55.917,16
357,2023-02-09 14:19:08.996,8
358,2023-02-09 14:25:41.561,16
359,2023-02-09 14:25:42.569,4
360,2023-02-09 14:26:45.819,16
361,2023-02-09 20:10:29.286,8
362,2023-02-09 20:15:49.572,4
363,2023-02-09 20:16:53.832,16
364,2023-02-10 03:53:41.418,8
365,2023-02-10 04:01:31.302,16
366,2023-02-10 06:28:40.602,8
367,2023-02-10 06:39:03.095,4
368,2023-02-10 08:16:22.438,16
369,2023-02-10 13:02:09.006,4
370,2023-02-10 13:02:47.157,8
371,2023-02-10 13:09:46.839,0
372,2023-02-10 13:09:47.839,16
373,2023-02-10 18:08:03.398,0
374,2023-02-10 18:08:04.398,8
375,2023-02-10 18:18:44.970,4
376,2023-02-10 18:19:52.227,16
377,2023-02-10 22:27:42.690,8
378,2023-02-10 23:01:04.686,16
379,2023-02-11 01:19:10.828,4
380,2023-02-11 01:19:13.838,16
381,2023-02-11 01:24:56.200,0
382,2023-02-11 01:24:57.210,4
383,2023-02-11 01:24:59.210,16
384,2023-02-11 03:09:31.296,4
385,2023-02-13 06:35:37.634,8
386,2023-02-13 06:37:06.993,4
387,2023-02-13 06:45:58.115,16
388,2023-02-13 12:44:21.098,32
389,2023-02-13 12:44:22.098,8
390,2023-02-13 12:53:47.358,0
391,2023-02-13 12:53:48.358,4
392,2023-02-13 14:05:02.456,16
393,2023-02-13 19:20:37.163,8
394,2023-02-13 19:30:35.552,16
395,2023-02-14 05:28:59.121,0
396,2023-02-14 05:29:00.121,8
397,2023-02-14 05:45:05.983,16
398,2023-02-14 17:03:04.658,8
399,2023-02-14 17:12:44.976,16
400,2023-02-14 19:23:43.403,8
401,2023-02-14 19:30:42.075,0
402,2023-02-14 19:30:43.075,16
403,2023-02-15 03:20:57.898,8
404,2023-02-15 03:33:02.790,32
405,2023-02-15 03:33:03.801,16
406,2023-02-15 04:33:38.345,4
407,2023-02-15 04:34:07.454,8
408,2023-02-15 05:20:20.552,4
409,2023-02-15 05:39:50.226,16
410,2023-02-15 13:22:06.134,8
411,2023-02-15 13:32:47.697,4
412,2023-02-15 13:34:19.065,16
413,2023-02-15 18:00:43.986,8
414,2023-02-15 18:09:13.019,0
415,2023-02-15 18:09:14.029,16
416,2023-02-15 22:57:40.230,0
417,2023-02-15 22:57:41.230,8
418,2023-02-15 23:05:51.191,0
419,2023-02-15 23:05:52.201,16
