,gameweek,manager,net_points,player_name,photo,team_in,player_name_out,team_out,in_points,out_points,gw_until_out
207,23,Ruslan,1.0,Mykolenko,224967,EVE,Tierney,ARS,1.0,0.0,1.0
253,28,Ruslan,1.0,Bamford,106617,LEE,Firmino,LIV,10.0,9.0,3.0
10,6,Sami,1.0,Paquetá,224024,WHU,Ward-Prowse,SOU,4.0,3.0,7.0
25,7,Sami,1.0,Ward-Prowse,101178,SOU,Eze,CRY,3.0,2.0,7.0
87,14,Sami,1.0,Gündogan,59859,MCI,Ward-Prowse,SOU,10.0,9.0,3.0
114,16,Sami,1.0,Estupiñán,204214,BHA,Justin,LEI,1.0,0.0,1.0
318,33,Sami,1.0,Chilwell,172850,CHE,James,CHE,1.0,0.0,1.0
328,34,Sami,1.0,Eriksen,80607,MUN,Murphy,NEW,3.0,2.0,1.0
9,6,Santi,1.0,Bowen,178186,WHU,Neves,WOL,4.0,3.0,8.0
124,18,Santi,1.0,Watkins,178301,AVL,Johnson,NFO,7.0,6.0,2.0
250,28,Santi,1.0,Richarlison,212319,TOT,Ferguson,BHA,1.0,0.0,1.0
102,15,Shrey,1.0,Partey,167199,ARS,Mahrez,MCI,7.0,6.0,7.0
159,21,Shrey,1.0,Ings,84939,WHU,Aubameyang,CHE,2.0,1.0,2.0
191,22,Shrey,1.0,Edouard,199670,CRY,Vardy,LEI,4.0,3.0,3.0
116,16,Youssef,1.0,Daka,245419,LEI,Johnson,NFO,10.0,9.0,5.0
201,23,Youssef,1.0,Chilwell,172850,CHE,Wan-Bissaka,MUN,3.0,2.0,2.0
15,6,Ali,0.0,Elliott,444884,LIV,Gray,EVE,3.0,3.0,1.0
27,7,Ali,0.0,Chilwell,172850,CHE,Estupiñán,BHA,0.0,0.0,2.0
28,7,Ali,0.0,Eriksen,80607,MUN,Elliott,LIV,0.0,0.0,2.0
29,7,Ali,0.0,Malacia,222690,MUN,Sánchez,TOT,0.0,0.0,2.0
37,9,Ali,0.0,Tarkowski,17761,EVE,Chilwell,CHE,2.0,2.0,1.0
47,10,Ali,0.0,Kehrer,201057,WHU,Tarkowski,EVE,1.0,1.0,1.0
60,12,Ali,0.0,Chilwell,172850,CHE,Struijk,LEE,0.0,0.0,1.0
61,12,Ali,0.0,Gomez,171287,LIV,Mings,AVL,8.0,8.0,4.0
63,12,Ali,0.0,Guéhi,209036,CRY,Tarkowski,EVE,1.0,1.0,1.0
75,13,Ali,0.0,Akanji,211975,MCI,Guéhi,CRY,0.0,0.0,
77,13,Ali,0.0,Shaw,106760,MUN,Dunk,BHA,0.0,0.0,
83,14,Ali,0.0,Bailey,215711,AVL,Bowen,WHU,2.0,2.0,1.0
113,16,Ali,0.0,Digne,101188,AVL,Gomez,LIV,3.0,3.0,2.0
136,19,Ali,0.0,Mitoma,451340,BHA,Joelinton,NEW,0.0,0.0,
154,20,Ali,0.0,Tete,167074,FUL,Struijk,LEE,0.0,0.0,0.0
155,20,Ali,0.0,Grealish,114283,MCI,Bernardo,MCI,0.0,0.0,
229,26,Ali,0.0,Varane,90152,MUN,Tarkowski,EVE,0.0,0.0,
231,26,Ali,0.0,Martínez,98980,AVL,Pickford,EVE,0.0,0.0,
280,30,Ali,0.0,Joelinton,180974,NEW,Gibbs-White,NFO,0.0,0.0,
302,32,Ali,0.0,Mitchell,244723,CRY,Davies,TOT,0.0,0.0,
317,33,Ali,0.0,Walker,58621,MCI,Holding,ARS,0.0,0.0,
