,time,TraceabilityCode,PressForceValueFL,time.value
206,2023-01-04 12:56:35.351,1010223004115605,29.3,2023-01-04 12:56:39.670
207,2023-01-04 12:56:42.250,1010223004115613,29.0,2023-01-04 12:56:46.448
208,2023-01-04 12:56:49.569,1010223004115620,28.8,2023-01-04 12:56:53.828
209,2023-01-04 12:56:56.930,1010223004115627,29.6,2023-01-04 12:57:01.180
210,2023-01-04 12:57:03.960,1010223004115634,29.0,2023-01-04 12:57:08.230
211,2023-01-04 12:57:11.160,1010223004115641,29.3,2023-01-04 12:57:15.338
212,2023-01-04 12:57:18.279,1010223004115648,29.6,2023-01-04 12:57:22.549
213,2023-01-04 12:57:25.430,1010223004115655,29.0,2023-01-04 12:57:29.668
214,2023-01-04 12:57:39.299,1010223004115710,29.3,2023-01-04 12:57:43.509
215,2023-01-04 12:58:07.428,1010223004115738,29.6,2023-01-04 12:58:11.658
216,2023-01-04 12:58:14.588,1010223004115745,29.0,2023-01-04 12:58:18.789
217,2023-01-04 12:58:21.878,1010223004115753,29.6,2023-01-04 12:58:26.069
218,2023-01-04 12:58:28.739,1010223004115800,29.0,2023-01-04 12:58:33.007
219,2023-01-04 12:58:35.948,1010223004115807,29.3,2023-01-04 12:58:40.148
220,2023-01-04 12:58:42.668,1010223004115814,29.6,2023-01-04 12:58:46.858
221,2023-01-04 12:58:49.457,1010223004115821,29.3,2023-01-04 12:58:53.756
222,2023-01-04 12:58:56.278,1010223004115828,29.0,2023-01-04 12:59:00.457
223,2023-01-04 12:59:10.398,1010223004115842,29.3,2023-01-04 12:59:14.697
224,2023-01-04 12:59:17.288,1010223004115849,29.0,2023-01-04 12:59:21.576
225,2023-01-04 12:59:24.078,1010223004115856,29.6,2023-01-04 12:59:28.306
226,2023-01-04 12:59:31.517,1010223004115903,29.8,2023-01-04 12:59:35.746
227,2023-01-04 12:59:39.058,1010223004115910,29.0,2023-01-04 12:59:43.266
228,2023-01-04 12:59:46.546,1010223004115917,29.3,2023-01-04 12:59:50.786
229,2023-01-04 12:59:53.387,1010223004115924,29.6,2023-01-04 12:59:57.665
230,2023-01-04 13:00:00.197,1010223004115931,28.8,2023-01-04 13:00:04.387
231,2023-01-04 13:00:07.647,1010223004115938,29.3,2023-01-04 13:00:11.825
232,2023-01-04 13:00:14.506,1010223004115945,29.6,2023-01-04 13:00:18.696
233,2023-01-04 13:00:21.895,1010223004115952,29.3,2023-01-04 13:00:26.144
234,2023-01-04 13:00:29.415,1010223004120000,29.0,2023-01-04 13:00:33.645
235,2023-01-04 13:00:36.236,1010223004120007,29.6,2023-01-04 13:00:40.546
236,2023-01-04 13:00:43.736,1010223004120014,29.3,2023-01-04 13:00:47.905
237,2023-01-04 13:00:51.186,1010223004120021,29.0,2023-01-04 13:00:55.436
238,2023-01-04 13:00:58.706,1010223004120028,29.3,2023-01-04 13:01:02.944
239,2023-01-04 13:01:05.605,1010223004120035,29.0,2023-01-04 13:01:09.825
240,2023-01-04 13:01:12.325,1010223004120042,29.6,2023-01-04 13:01:16.625
241,2023-01-04 13:01:26.224,1010223004120056,29.3,2023-01-04 13:01:30.543
242,2023-01-04 13:02:07.184,1010223004120130,29.0,2023-01-04 13:02:11.414
243,2023-01-04 13:02:14.033,1010123004120138,29.8,2023-01-04 13:02:18.233
244,2023-01-04 13:02:20.834,1010123004120144,29.3,2023-01-04 13:02:25.094
245,2023-01-04 13:02:27.654,1010123004120151,29.0,2023-01-04 13:02:31.823
246,2023-01-04 13:02:34.424,1010123004120158,29.6,2023-01-04 13:02:38.703
247,2023-01-04 13:02:41.243,1010123004120205,29.3,2023-01-04 13:02:45.513
248,2023-01-04 13:02:55.703,1010123004120225,29.6,2023-01-04 13:02:59.904
249,2023-01-04 13:03:02.844,1010123004120232,29.0,2023-01-04 13:03:07.023
250,2023-01-04 13:03:09.783,1010123004120239,29.3,2023-01-04 13:03:13.993
251,2023-01-04 13:03:16.913,1010123004120246,29.6,2023-01-04 13:03:21.183
252,2023-01-04 13:03:31.302,1010123004120301,29.0,2023-01-04 13:03:35.513
253,2023-01-04 13:03:38.483,1010123004120308,29.6,2023-01-04 13:03:42.703
254,2023-01-04 13:03:45.381,1010123004120315,28.8,2023-01-04 13:03:49.661
255,2023-01-04 13:03:52.671,1010123004120322,28.5,2023-01-04 13:03:56.940
256,2023-01-04 13:04:00.022,1010123004120329,29.3,2023-01-04 13:04:04.302
257,2023-01-04 13:04:07.092,1010123004120336,29.8,2023-01-04 13:04:11.341
258,2023-01-04 13:04:14.292,1010123004120343,29.3,2023-01-04 13:04:18.552
259,2023-01-04 13:04:21.441,1010123004120351,29.8,2023-01-04 13:04:25.661
260,2023-01-04 13:04:28.661,1010123004120358,29.0,2023-01-04 13:04:32.871
261,2023-01-04 13:04:43.260,1010123004120412,29.3,2023-01-04 13:04:47.430
262,2023-01-04 13:04:50.361,1010123004120419,29.6,2023-01-04 13:04:54.551
263,2023-01-04 13:04:57.490,1010123004120427,29.0,2023-01-04 13:05:01.671
264,2023-01-04 13:05:04.519,1010123004120434,29.3,2023-01-04 13:05:08.789
265,2023-01-04 13:05:18.091,1010123004120448,29.0,2023-01-04 13:05:22.381
266,2023-01-04 13:05:24.881,1010123004120455,29.3,2023-01-04 13:05:29.180
267,2023-01-04 13:05:38.891,1010123004120509,28.8,2023-01-04 13:05:43.108
268,2023-01-04 13:05:45.660,1010123004120516,29.3,2023-01-04 13:05:49.910
269,2023-01-04 13:05:52.420,1010123004120523,29.8,2023-01-04 13:05:56.709
270,2023-01-04 13:05:59.319,1010123004120530,28.8,2023-01-04 13:06:03.509
271,2023-01-04 13:06:06.349,1010123004120537,29.3,2023-01-04 13:06:10.549
272,2023-01-04 13:06:13.119,1010123004120544,29.0,2023-01-04 13:06:17.338
273,2023-01-04 13:06:19.928,1010123004120550,29.6,2023-01-04 13:06:24.138
274,2023-01-04 13:06:26.658,1010123004120557,29.0,2023-01-04 13:06:30.938
275,2023-01-04 13:06:34.168,1010123004120604,29.3,2023-01-04 13:06:38.388
276,2023-01-04 13:06:57.489,1010123004120618,28.8,2023-01-04 13:07:01.667
277,2023-01-04 13:07:04.948,1010123004120625,29.6,2023-01-04 13:07:09.178
278,2023-01-04 13:07:19.378,1010123004120639,28.8,2023-01-04 13:07:23.668
279,2023-01-04 13:07:26.858,1010123004120645,29.6,2023-01-04 13:07:31.029
280,2023-01-04 13:07:41.219,1010123004120708,29.0,2023-01-04 13:07:45.428
281,2023-01-04 13:07:56.198,1010123004120723,29.8,2023-01-04 13:08:00.388
282,2023-01-04 13:08:03.078,1010123004120731,29.3,2023-01-04 13:08:07.348
283,2023-01-04 13:08:10.479,1010123004120737,29.6,2023-01-04 13:08:14.717
284,2023-01-04 13:08:18.017,1010123004120745,28.8,2023-01-04 13:08:22.226
285,2023-01-04 13:08:24.838,1010123004120752,29.0,2023-01-04 13:08:29.096
286,2023-01-04 13:08:32.227,1010123004120759,29.6,2023-01-04 13:08:36.476
287,2023-01-04 13:08:39.808,1010123004120807,29.3,2023-01-04 13:08:44.078
288,2023-01-04 13:08:46.667,1010123004120814,29.6,2023-01-04 13:08:50.937
289,2023-01-04 13:08:54.108,1010123004120821,29.3,2023-01-04 13:08:58.398
290,2023-01-04 13:09:01.648,1010123004120828,29.6,2023-01-04 13:09:05.907
291,2023-01-04 13:09:15.887,1010123004120843,29.3,2023-01-04 13:09:20.056
292,2023-01-04 13:09:23.407,1010123004120850,29.6,2023-01-04 13:09:27.667
293,2023-01-04 13:09:30.256,1010123004120858,29.0,2023-01-04 13:09:34.457
294,2023-01-04 13:10:28.246,1010123004120920,29.6,2023-01-04 13:10:32.476
295,2023-01-04 13:10:35.026,1010123004120927,28.8,2023-01-04 13:10:39.187
296,2023-01-04 13:10:41.736,1010123004120934,29.0,2023-01-04 13:10:45.994
297,2023-01-04 13:10:48.605,1010123004120941,29.8,2023-01-04 13:10:52.855
298,2023-01-04 13:10:55.355,1010123004120948,28.8,2023-01-04 13:10:59.605
299,2023-01-04 13:11:02.196,1010123004120955,29.6,2023-01-04 13:11:06.394
300,2023-01-04 13:11:09.085,1010123004121039,29.8,2023-01-04 13:11:13.276
301,2023-01-04 13:11:16.236,1010123004121046,28.8,2023-01-04 13:11:20.555
302,2023-01-04 13:11:23.395,1010123004121053,29.6,2023-01-04 13:11:27.595
303,2023-01-04 13:11:30.686,1010123004121100,29.8,2023-01-04 13:11:34.884
304,2023-01-04 13:11:37.845,1010123004121107,29.3,2023-01-04 13:11:42.144
305,2023-01-04 13:11:44.934,1010123004121114,29.6,2023-01-04 13:11:49.115
306,2023-01-04 13:11:58.484,1010123004121129,29.3,2023-01-04 13:12:02.703
307,2023-01-04 13:12:05.285,1010123004121136,29.0,2023-01-04 13:12:09.515
308,2023-01-04 13:12:12.115,1010123004121143,29.3,2023-01-04 13:12:16.325
309,2023-01-04 13:12:18.924,1010123004121150,29.6,2023-01-04 13:12:23.115
310,2023-01-04 13:12:25.674,1010123004121157,29.0,2023-01-04 13:12:29.904
311,2023-01-04 13:12:32.424,1010123004121204,29.3,2023-01-04 13:12:36.704
312,2023-01-04 13:12:39.244,1010123004121211,29.0,2023-01-04 13:12:43.513
313,2023-01-04 13:12:46.073,1010123004121218,28.5,2023-01-04 13:12:50.322
314,2023-01-04 13:12:52.874,1010123004121225,29.6,2023-01-04 13:12:57.193
315,2023-01-04 13:13:00.374,1010123004121232,29.3,2023-01-04 13:13:04.552
316,2023-01-04 13:13:07.184,1010123004121238,29.0,2023-01-04 13:13:11.433
317,2023-01-04 13:13:14.642,1010123004121245,29.3,2023-01-04 13:13:18.862
318,2023-01-04 13:13:43.933,1010123004121313,29.8,2023-01-04 13:13:48.141
319,2023-01-04 13:13:57.592,1010123004121327,29.6,2023-01-04 13:14:01.842
