manager,player_name,team,photo,player_id,points,ppg
Santi,Boly,NFO,90585,3,9.0,3.0
Yahya,Laporte,MCI,146941,3,9.0,3.0
Santi,Diop,FUL,219924,3,9.0,3.0
Sami,Olise,CRY,443661,3,14.0,4.67
Ruslan,Firmino,LIV,92217,3,11.0,3.67
Ruslan,Steele,BHA,49262,3,22.0,7.33
Ali,Emerson Royal,TOT,241157,3,5.0,1.67
Sami,Havertz,CHE,219847,3,21.0,7.0
Sami,Gündogan,MCI,59859,3,10.0,3.33
Sami,Grealish,MCI,114283,3,13.0,4.33
Ali,Gomez,LIV,171287,3,8.0,2.67
Sami,Bruno Guimarães,NEW,208706,3,5.0,1.67
Sami,Bentancur,TOT,202993,3,11.0,3.67
Ruslan,Robertson,LIV,122798,3,3.0,1.0
Sami,Lindelöf,MUN,184667,3,17.0,5.67
Ali,Joelinton,NEW,180974,3,12.0,4.0
Ruslan,Groß,BHA,60307,3,7.0,2.33
Ali,Mings,AVL,149484,3,9.0,3.0
Dani,Paquetá,WHU,224024,3,9.0,3.0
Ali,Olise,CRY,443661,3,8.0,2.67
Ali,Welbeck,BHA,50175,3,6.0,2.0
Ali,Pedro Porro,TOT,441164,3,10.0,3.33
Ali,Edouard,CRY,199670,3,11.0,3.67
Sami,Dewsbury-Hall,LEI,215413,3,11.0,3.67
Ali,Bailey,AVL,215711,3,5.0,1.67
Sami,Mudryk,CHE,465920,3,4.0,1.33
Sami,Son,TOT,85971,3,8.0,2.67
Ali,Chilwell,CHE,172850,2,0.0,0.0
Youssef,Awoniyi,NFO,210156,2,14.0,7.0
Youssef,Amartey,LEI,155569,2,2.0,1.0
Ruslan,Salah,LIV,118748,2,13.0,6.5
Youssef,Aurier,NFO,80226,2,2.0,1.0
Santi,Zouma,WHU,103192,2,7.0,3.5
Youssef,Tetê,LEI,225295,2,4.0,2.0
Santi,Xhaka,ARS,84450,2,4.0,2.0
Youssef,Bazunu,SOU,456350,2,2.0,1.0
Ruslan,Lewis,MCI,477064,2,10.0,5.0
