,time,TraceabilityCode,Defect
191,2023-02-17 11:01:21,1010123048095922,Pikos (marks/contamination)
192,2023-02-17 11:01:14,1010123048095913,Pikos (marks/contamination)
193,2023-02-17 11:01:09,1010123048095458,Pikos (marks/contamination)
194,2023-02-17 11:00:08,1010123048095041,Pikos (marks/contamination)
195,2023-02-17 10:59:51,1010123048095008,Pikos (marks/contamination)
196,2023-02-17 07:19:43,1010123048061215,Deformacja (deformation)
197,2023-02-17 07:19:29,1010123048061330,Deformacja (deformation)
198,2023-02-17 00:08:31,1010223047230652,Błąd materiału (meterial failure)
199,2023-02-16 22:29:32,1010123047212806,Błąd materiału (meterial failure)
200,2023-02-16 14:29:40,1010123047132801,Odciśnięte miejsce (marks)
201,2023-02-16 13:00:27,1010223047114448,Pikos (marks/contamination)
202,2023-02-16 10:41:34,1010123047093312,Pikos (marks/contamination)
203,2023-02-16 10:41:27,1010123047093302,Pikos (marks/contamination)
204,2023-02-16 10:29:16,1010123047091712,Deformacja (deformation)
205,2023-02-16 10:20:44,1010123047091011,Pikos (marks/contamination)
206,2023-02-16 10:20:37,1010123047091001,Pikos (marks/contamination)
207,2023-02-16 10:20:11,1010123047090842,Pikos (marks/contamination)
208,2023-02-16 10:19:35,1010123047090856,Pikos (marks/contamination)
209,2023-02-16 10:19:18,1010123047090951,Pikos (marks/contamination)
210,2023-02-16 10:19:10,1010123047090940,Pikos (marks/contamination)
211,2023-02-16 10:19:02,1010123047090926,Pikos (marks/contamination)
212,2023-02-16 10:18:53,1010123047090917,Pikos (marks/contamination)
213,2023-02-16 10:18:44,1010123047090907,Pikos (marks/contamination)
214,2023-02-16 10:16:20,1010123047084415,Pikos (marks/contamination)
215,2023-02-16 10:16:14,1010123047084353,Pikos (marks/contamination)
216,2023-02-16 10:16:08,1010123047083729,Pikos (marks/contamination)
217,2023-02-16 10:15:59,1010123047083703,Pikos (marks/contamination)
218,2023-02-16 10:15:53,1010123047083653,Pikos (marks/contamination)
219,2023-02-16 10:13:41,1010123047083653,Pikos (marks/contamination)
220,2023-02-14 08:14:10,1010123045071156,Deformacja (deformation)
221,2023-02-14 08:14:04,1010123045071147,Deformacja (deformation)
222,2023-02-14 08:13:56,1010123045071139,Deformacja (deformation)
223,2023-02-14 08:13:49,1010123045071122,Deformacja (deformation)
224,2023-02-14 08:13:42,1010123045071105,Deformacja (deformation)
225,2023-02-10 03:36:59,1010123041023452,Pęknięcie (cracks)
226,2023-02-10 03:36:45,1010123040233503,Pęknięcie (cracks)
227,2023-02-10 02:13:37,1010223041010947,Pofalowanie (waves)
228,2023-02-10 02:03:40,1010123041005922,Przeciągnięcie (thinning)
229,2023-02-10 02:01:43,1010123041005840,Przeciągnięcie (thinning)
230,2023-02-10 02:01:20,1010123041005814,Przeciągnięcie (thinning)
231,2023-02-10 02:01:13,1010123041005806,Przeciągnięcie (thinning)
232,2023-02-10 00:37:45,1010123040232832,Pofalowanie (waves)
233,2023-02-10 00:37:37,1010123040232825,Pofalowanie (waves)
234,2023-02-10 00:37:31,1010123040232818,Pofalowanie (waves)
235,2023-02-10 00:34:18,1010223040232710,Pofalowanie (waves)
236,2023-02-10 00:31:34,1010223040232529,Pofalowanie (waves)
237,2023-02-10 00:31:25,1010223040232520,Pofalowanie (waves)
238,2023-02-09 23:18:11,1010223040221251,Odciśnięte miejsce (marks)
239,2023-02-09 23:17:59,1010223040220722,Odciśnięte miejsce (marks)
240,2023-02-09 23:17:47,1010223040220713,Odciśnięte miejsce (marks)
241,2023-02-09 23:15:45,1010223040220705,Odciśnięte miejsce (marks)
242,2023-02-09 23:15:36,1010223040220656,Odciśnięte miejsce (marks)
243,2023-02-09 18:51:36,1010223040174912,Pikos (marks/contamination)
244,2023-02-09 18:51:28,1010223040174855,Pikos (marks/contamination)
245,2023-02-09 18:51:21,1010223040174846,Pikos (marks/contamination)
