time;TraceabilityCode;CushionPumpMaxPower3;time.value
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:10:10.921 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:10:29.091 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:10:38.210 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:10:47.321 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:11:41.638 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:11:50.769 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:12:18.128 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:12:45.489 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:13:03.729 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:13:21.809 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:13:39.967 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:13:48.996 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:14:16.367 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:14:25.417 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:14:43.647 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:14:52.766 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:15:18.055 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:15:27.236 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:15:45.457 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:16:03.657 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:16:12.855 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:16:21.974 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:16:40.216 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:16:58.375 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:21:41.329 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:21:50.380 CET
2023-02-20 14:43:27.519 CET;1010123051134259;23,4;2023-02-22 15:31:51.250 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:36:48.394 CET
