time;TraceabilityCode;PressForceValueFL;time.value
2023-01-04 15:31:29.911 CET;1010123004143050;26,6;2023-01-04 15:31:34.441 CET
2023-01-04 15:31:44.681 CET;1010123004143105;27,4;2023-01-04 15:31:49.151 CET
2023-01-04 15:31:52.101 CET;1010123004143113;26,1;2023-01-04 15:31:56.582 CET
2023-01-04 15:31:59.461 CET;1010123004143120;26,6;2023-01-04 15:32:03.921 CET
2023-01-04 15:32:06.911 CET;1010123004143127;27,4;2023-01-04 15:32:11.292 CET
2023-01-04 15:32:14.332 CET;1010123004143135;26,9;2023-01-04 15:32:18.762 CET
2023-01-04 15:32:21.710 CET;1010123004143142;26,4;2023-01-04 15:32:26.190 CET
2023-01-04 15:32:29.200 CET;1010123004143149;27,4;2023-01-04 15:32:33.710 CET
2023-01-04 15:32:36.540 CET;1010123004143157;27,2;2023-01-04 15:32:40.990 CET
2023-01-04 15:32:43.990 CET;1010123004143204;26,6;2023-01-04 15:32:48.510 CET
2023-01-04 15:47:36.776 CET;1010123004143212;26,4;2023-01-04 15:47:42.585 CET
2023-01-04 15:47:44.696 CET;1010123004143227;26,1;2023-01-04 15:47:49.134 CET
2023-01-04 15:48:12.974 CET;1010123004143241;25,8;2023-01-04 15:48:17.365 CET
2023-01-04 15:48:20.785 CET;1010123004144556;26,1;2023-01-04 15:48:25.323 CET
2023-01-04 15:48:28.154 CET;1010123004144604;26,4;2023-01-04 15:48:32.605 CET
2023-01-04 15:48:43.335 CET;1010123004144726;26,6;2023-01-04 15:48:47.765 CET
2023-01-04 15:49:42.683 CET;1010123004144736;26,1;2023-01-04 15:49:47.121 CET
2023-01-04 15:49:50.213 CET;1010123004144802;26,4;2023-01-04 15:49:54.701 CET
2023-01-04 15:49:57.602 CET;1010123004144810;26,1;2023-01-04 15:50:02.111 CET
2023-01-04 15:50:05.062 CET;1010123004144825;26,9;2023-01-04 15:50:09.463 CET
2023-01-04 15:50:12.503 CET;1010123004144839;26,6;2023-01-04 15:50:16.892 CET
2023-01-04 15:50:19.842 CET;1010123004144847;26,9;2023-01-04 15:50:24.262 CET
2023-01-04 15:50:27.111 CET;1010123004144948;26,6;2023-01-04 15:50:31.561 CET
2023-01-04 15:50:41.961 CET;1010123004145002;27,7;2023-01-04 15:50:46.361 CET
2023-01-04 15:50:49.391 CET;1010123004145010;26,6;2023-01-04 15:50:53.782 CET
2023-01-04 15:50:56.792 CET;1010123004145017;27,4;2023-01-04 15:51:01.211 CET
2023-01-04 15:51:04.121 CET;1010123004145025;27,7;2023-01-04 15:51:08.651 CET
2023-01-04 15:51:11.601 CET;1010123004145032;27,2;2023-01-04 15:51:16.121 CET
2023-01-04 15:51:26.301 CET;1010123004145047;27,4;2023-01-04 15:51:30.839 CET
2023-01-04 15:51:33.760 CET;1010123004145054;26,9;2023-01-04 15:51:38.190 CET
2023-01-04 15:51:41.190 CET;1010123004145101;26,6;2023-01-04 15:51:45.609 CET
2023-01-04 15:51:48.510 CET;1010123004145109;26,9;2023-01-04 15:51:52.901 CET
2023-01-04 15:51:55.901 CET;1010123004145116;26,6;2023-01-04 15:52:00.450 CET
2023-01-04 15:52:03.341 CET;1010123004145124;26,4;2023-01-04 15:52:07.809 CET
2023-01-04 15:52:10.720 CET;1010123004145131;26,9;2023-01-04 15:52:15.170 CET
2023-01-04 15:52:18.040 CET;1010123004145139;27,4;2023-01-04 15:52:22.578 CET
2023-01-04 15:52:25.420 CET;1010123004145146;27,2;2023-01-04 15:52:29.858 CET
2023-01-04 15:52:32.819 CET;1010123004145153;26,4;2023-01-04 15:52:37.219 CET
2023-01-04 15:52:40.200 CET;1010123004145201;26,6;2023-01-04 15:52:44.688 CET
2023-01-04 15:52:47.549 CET;1010123004145208;27,2;2023-01-04 15:52:52.049 CET
2023-01-04 15:52:55.148 CET;1010123004145215;25,8;2023-01-04 15:52:59.648 CET
2023-01-04 15:53:02.428 CET;1010123004145223;27,2;2023-01-04 15:53:06.918 CET
2023-01-04 15:53:09.838 CET;1010123004145230;27,4;2023-01-04 15:53:14.259 CET
2023-01-04 15:53:17.249 CET;1010123004145238;27,2;2023-01-04 15:53:21.688 CET
2023-01-04 15:53:24.578 CET;1010123004145245;27,4;2023-01-04 15:53:28.979 CET
2023-01-04 15:53:32.098 CET;1010123004145252;25,8;2023-01-04 15:53:36.598 CET
2023-01-04 15:53:39.479 CET;1010123004145300;26,6;2023-01-04 15:53:43.969 CET
2023-01-04 15:53:47.069 CET;1010123004145307;27,2;2023-01-04 15:53:51.486 CET
2023-01-04 15:53:54.398 CET;1010123004145315;26,4;2023-01-04 15:53:58.917 CET
2023-01-04 15:54:01.818 CET;1010123004145322;26,9;2023-01-04 15:54:06.286 CET
2023-01-04 15:54:09.227 CET;1010123004145329;26,4;2023-01-04 15:54:13.717 CET
2023-01-04 15:54:16.638 CET;1010123004145337;27,2;2023-01-04 15:54:21.058 CET
2023-01-04 15:54:24.148 CET;1010123004145344;26,6;2023-01-04 15:54:28.598 CET
2023-01-04 15:54:31.628 CET;1010123004145352;25,6;2023-01-04 15:54:36.127 CET
2023-01-04 15:54:38.967 CET;1010123004145359;26,6;2023-01-04 15:54:43.407 CET
2023-01-04 15:54:46.247 CET;1010123004145407;26,9;2023-01-04 15:54:50.766 CET
2023-01-04 15:54:53.786 CET;1010123004145414;26,6;2023-01-04 15:54:58.276 CET
2023-01-04 15:55:01.167 CET;1010123004145421;26,9;2023-01-04 15:55:05.726 CET
2023-01-04 15:55:15.996 CET;1010123004145436;27,2;2023-01-04 15:55:20.426 CET
2023-01-04 15:55:23.437 CET;1010123004145444;27,4;2023-01-04 15:55:27.926 CET
2023-01-04 15:55:30.826 CET;1010123004145451;27,2;2023-01-04 15:55:35.335 CET
2023-01-04 15:55:38.226 CET;1010123004145459;27,4;2023-01-04 15:55:42.686 CET
2023-01-04 15:55:52.974 CET;1010123004145513;26,6;2023-01-04 15:55:57.454 CET
2023-01-04 15:56:00.494 CET;1010123004145521;26,1;2023-01-04 15:56:04.974 CET
2023-01-04 15:56:07.904 CET;1010123004145528;26,9;2023-01-04 15:56:12.375 CET
2023-01-04 15:56:15.285 CET;1010123004145536;26,4;2023-01-04 15:56:19.805 CET
2023-01-04 15:56:22.765 CET;1010123004145543;27,2;2023-01-04 15:56:27.323 CET
2023-01-04 15:56:30.154 CET;1010123004145550;27,4;2023-01-04 15:56:34.605 CET
2023-01-04 15:56:37.615 CET;1010123004145558;26,4;2023-01-04 15:56:42.124 CET
2023-01-04 15:56:44.954 CET;1010123004145605;27,2;2023-01-04 15:56:49.454 CET
2023-01-04 15:56:52.375 CET;1010123004145613;26,4;2023-01-04 15:56:56.813 CET
2023-01-04 15:57:07.015 CET;1010123004145627;27,2;2023-01-04 15:57:11.563 CET
2023-01-04 15:57:14.384 CET;1010123004145635;26,9;2023-01-04 15:57:18.924 CET
2023-01-04 15:57:21.854 CET;1010123004145642;27,4;2023-01-04 15:57:26.352 CET
2023-01-04 15:57:44.144 CET;1010123004145705;27,2;2023-01-04 15:57:48.612 CET
2023-01-04 15:57:58.844 CET;1010123004145719;26,4;2023-01-04 15:58:03.404 CET
2023-01-04 15:58:06.364 CET;1010123004145727;27,2;2023-01-04 15:58:10.842 CET
2023-01-04 15:58:13.743 CET;1010123004145734;27,4;2023-01-04 15:58:18.173 CET
2023-01-04 15:58:21.082 CET;1010123004145741;26,9;2023-01-04 15:58:25.542 CET
2023-01-04 15:58:28.572 CET;1010123004145749;26,6;2023-01-04 15:58:33.012 CET
2023-01-04 15:58:43.392 CET;1010123004145804;26,1;2023-01-04 15:58:47.891 CET
