time;TraceabilityCode;PressForceValueRL;time.value
2023-01-04 15:55:52.974 CET;1010123004145513;28,5;2023-01-04 15:55:57.454 CET
2023-01-04 15:56:00.494 CET;1010123004145521;27,7;2023-01-04 15:56:04.974 CET
2023-01-04 15:56:07.904 CET;1010123004145528;28,2;2023-01-04 15:56:12.375 CET
2023-01-04 15:56:30.154 CET;1010123004145550;28,5;2023-01-04 15:56:34.605 CET
2023-01-04 15:56:37.615 CET;1010123004145558;28,2;2023-01-04 15:56:42.124 CET
2023-01-04 15:56:44.954 CET;1010123004145605;28,5;2023-01-04 15:56:49.454 CET
2023-01-04 15:56:52.375 CET;1010123004145613;28;2023-01-04 15:56:56.813 CET
2023-01-04 15:56:59.785 CET;1010123004145620;28,5;2023-01-04 15:57:04.283 CET
2023-01-04 15:57:07.015 CET;1010123004145627;28,8;2023-01-04 15:57:11.563 CET
2023-01-04 15:57:14.384 CET;1010123004145635;28;2023-01-04 15:57:18.924 CET
2023-01-04 15:57:29.194 CET;1010123004145650;28,2;2023-01-04 15:57:33.693 CET
2023-01-04 15:57:58.844 CET;1010123004145719;27,7;2023-01-04 15:58:03.404 CET
2023-01-04 15:58:13.743 CET;1010123004145734;28;2023-01-04 15:58:18.173 CET
2023-01-04 15:58:28.572 CET;1010123004145749;28,2;2023-01-04 15:58:33.012 CET
2023-01-04 15:58:35.923 CET;1010123004145756;28;2023-01-04 15:58:40.381 CET
2023-01-04 15:58:50.782 CET;1010123004145811;28,2;2023-01-04 15:58:55.253 CET
2023-01-04 15:58:58.243 CET;1010123004145819;28,8;2023-01-04 15:59:02.773 CET
2023-01-04 15:59:05.683 CET;1010123004145826;28;2023-01-04 15:59:10.121 CET
2023-01-04 15:59:13.032 CET;1010123004145833;28,2;2023-01-04 15:59:17.542 CET
2023-01-04 15:59:20.522 CET;1010123004145841;28;2023-01-04 15:59:24.901 CET
2023-01-04 15:59:27.901 CET;1010123004145848;28,5;2023-01-04 15:59:32.460 CET
2023-01-04 15:59:42.842 CET;1010123004145903;28;2023-01-04 15:59:47.331 CET
2023-01-04 15:59:50.220 CET;1010123004145910;28,2;2023-01-04 15:59:54.690 CET
2023-01-04 15:59:57.591 CET;1010123004145918;28,5;2023-01-04 16:00:02.111 CET
