,time,TraceabilityCode,PressForceValueRR,time.value
252,2023-01-04 15:59:35.401,1010123004145856,32.2,2023-01-04 15:59:39.871
253,2023-01-04 15:59:57.591,1010123004145918,31.4,2023-01-04 16:00:02.111
254,2023-01-04 16:00:05.040,1010123004145925,32.0,2023-01-04 16:00:09.460
255,2023-01-04 16:00:12.450,1010123004145933,31.7,2023-01-04 16:00:16.901
256,2023-01-04 16:00:19.871,1010123004145940,31.2,2023-01-04 16:00:24.371
257,2023-01-04 16:00:27.270,1010123004145948,32.0,2023-01-04 16:00:31.730
258,2023-01-04 16:00:34.680,1010123004145955,31.7,2023-01-04 16:00:39.091
259,2023-01-04 16:00:57.349,1010123004150025,32.0,2023-01-04 16:01:01.779
260,2023-01-04 16:01:04.769,1010123004150032,32.5,2023-01-04 16:01:09.299
261,2023-01-04 16:01:20.130,1010123004150046,32.2,2023-01-04 16:01:24.688
262,2023-01-04 16:01:27.569,1010123004150053,32.5,2023-01-04 16:01:31.969
263,2023-01-04 16:04:53.516,1010123004150122,32.8,2023-01-04 16:04:58.066
264,2023-01-04 16:05:01.326,1010123004150136,32.5,2023-01-04 16:05:05.907
265,2023-01-04 16:05:08.726,1010123004150143,32.0,2023-01-04 16:05:13.256
266,2023-01-04 16:06:16.135,1010123004150157,32.2,2023-01-04 16:06:20.585
267,2023-01-04 16:06:23.966,1010123004150212,32.0,2023-01-04 16:09:19.691
268,2023-01-04 16:09:35.121,1010123004150450,31.7,2023-01-04 16:09:39.592
269,2023-01-04 16:09:43.002,1010123004150509,31.4,2023-01-04 16:09:47.500
270,2023-01-04 16:14:47.677,1010123004150909,31.7,2023-01-04 16:14:52.155
271,2023-01-04 16:14:55.486,1010123004150917,30.9,2023-01-04 16:15:00.065
272,2023-01-04 16:15:02.895,1010123004150924,31.2,2023-01-04 16:15:07.335
273,2023-01-04 16:15:17.496,1010123004151154,31.4,2023-01-04 16:15:21.865
274,2023-01-04 16:15:24.756,1010123004151435,32.0,2023-01-04 16:15:29.246
275,2023-01-04 16:15:39.415,1010123004151458,32.2,2023-01-04 16:15:43.895
276,2023-01-04 16:15:46.686,1010123004151506,31.7,2023-01-04 16:15:51.154
277,2023-01-04 16:15:54.214,1010123004151513,31.4,2023-01-04 16:15:58.734
278,2023-01-04 16:16:01.654,1010123004151521,32.8,2023-01-04 16:16:06.154
279,2023-01-04 16:16:09.015,1010123004151529,31.4,2023-01-04 16:16:13.493
280,2023-01-04 16:16:16.474,1010123004151536,31.7,2023-01-04 16:16:20.923
281,2023-01-04 16:16:23.924,1010123004151543,31.4,2023-01-04 16:16:28.342
282,2023-01-04 16:16:46.334,1010123004151606,30.6,2023-01-04 16:16:50.773
283,2023-01-04 16:16:53.963,1010123004151613,30.9,2023-01-04 16:16:58.533
284,2023-01-04 16:17:08.934,1010123004151628,30.6,2023-01-04 16:17:13.332
285,2023-01-04 16:17:16.263,1010123004151636,30.9,2023-01-04 16:17:20.743
286,2023-01-04 16:17:23.842,1010123004151643,31.4,2023-01-04 16:17:28.392
287,2023-01-04 16:17:31.213,1010123004151651,31.7,2023-01-04 16:17:35.743
288,2023-01-04 16:17:38.483,1010123004151658,32.2,2023-01-04 16:17:43.003
289,2023-01-04 16:17:45.763,1010123004151706,32.0,2023-01-04 16:17:50.272
290,2023-01-04 16:17:53.132,1010123004151713,32.2,2023-01-04 16:17:57.673
291,2023-01-04 16:18:00.542,1010123004151721,32.0,2023-01-04 16:18:05.102
292,2023-01-04 16:18:08.122,1010123004151728,32.5,2023-01-04 16:18:12.612
293,2023-01-04 16:18:15.523,1010123004151735,32.0,2023-01-04 16:18:19.953
294,2023-01-04 16:18:30.471,1010123004151750,32.2,2023-01-04 16:18:34.930
295,2023-01-04 16:18:37.901,1010123004151757,32.8,2023-01-04 16:18:42.381
296,2023-01-04 16:18:45.211,1010123004151805,32.5,2023-01-04 16:18:49.651
297,2023-01-04 16:18:59.762,1010123004151820,31.4,2023-01-04 16:19:04.180
298,2023-01-04 16:19:07.111,1010123004151827,32.0,2023-01-04 16:19:11.581
299,2023-01-04 16:19:14.451,1010123004151835,31.2,2023-01-04 16:19:18.950
300,2023-01-04 16:19:21.821,1010123004151842,31.7,2023-01-04 16:19:26.381
301,2023-01-04 16:19:29.220,1010123004151849,31.2,2023-01-04 16:19:33.651
302,2023-01-04 16:19:36.480,1010123004151857,31.4,2023-01-04 16:19:40.911
303,2023-01-04 16:19:43.921,1010123004151904,31.7,2023-01-04 16:19:48.480
304,2023-01-04 16:19:51.319,1010123004151911,32.0,2023-01-04 16:19:55.829
305,2023-01-04 16:27:51.273,1010123004151919,32.2,2023-01-04 16:27:57.973
306,2023-01-04 16:28:13.973,1010123004151926,31.7,2023-01-04 16:28:18.482
307,2023-01-04 16:28:23.112,1010123004151933,32.0,2023-01-04 16:28:27.592
