,time,TraceabilityCode,TotalPressForceValue,time.value
248,2023-01-04 15:56:22.765,1010123004145543,29.0,2023-01-04 15:56:27.323
249,2023-01-04 15:56:37.615,1010123004145558,28.8,2023-01-04 15:56:42.124
250,2023-01-04 15:56:44.954,1010123004145605,29.2,2023-01-04 15:56:49.454
251,2023-01-04 15:56:52.375,1010123004145613,28.6,2023-01-04 15:56:56.813
252,2023-01-04 15:56:59.785,1010123004145620,28.9,2023-01-04 15:57:04.283
253,2023-01-04 15:57:07.015,1010123004145627,29.2,2023-01-04 15:57:11.563
254,2023-01-04 15:57:14.384,1010123004145635,28.8,2023-01-04 15:57:18.924
255,2023-01-04 15:57:21.854,1010123004145642,29.0,2023-01-04 15:57:26.352
256,2023-01-04 15:57:29.194,1010123004145650,29.1,2023-01-04 15:57:33.693
257,2023-01-04 15:57:44.144,1010123004145705,28.7,2023-01-04 15:57:48.612
258,2023-01-04 15:57:51.503,1010123004145712,28.8,2023-01-04 15:57:55.953
259,2023-01-04 15:57:58.844,1010123004145719,28.4,2023-01-04 15:58:03.404
260,2023-01-04 15:58:06.364,1010123004145727,28.6,2023-01-04 15:58:10.842
261,2023-01-04 15:58:13.743,1010123004145734,28.8,2023-01-04 15:58:18.173
262,2023-01-04 15:58:21.082,1010123004145741,28.7,2023-01-04 15:58:25.542
263,2023-01-04 15:58:28.572,1010123004145749,28.8,2023-01-04 15:58:33.012
264,2023-01-04 15:58:35.923,1010123004145756,28.7,2023-01-04 15:58:40.381
265,2023-01-04 15:58:43.392,1010123004145804,28.4,2023-01-04 15:58:47.891
266,2023-01-04 15:58:50.782,1010123004145811,29.0,2023-01-04 15:58:55.253
267,2023-01-04 15:58:58.243,1010123004145819,29.2,2023-01-04 15:59:02.773
268,2023-01-04 15:59:05.683,1010123004145826,28.7,2023-01-04 15:59:10.121
269,2023-01-04 15:59:13.032,1010123004145833,28.9,2023-01-04 15:59:17.542
270,2023-01-04 15:59:20.522,1010123004145841,28.8,2023-01-04 15:59:24.901
271,2023-01-04 15:59:27.901,1010123004145848,29.0,2023-01-04 15:59:32.460
272,2023-01-04 15:59:35.401,1010123004145856,28.8,2023-01-04 15:59:39.871
273,2023-01-04 15:59:50.220,1010123004145910,28.9,2023-01-04 15:59:54.690
274,2023-01-04 15:59:57.591,1010123004145918,28.7,2023-01-04 16:00:02.111
275,2023-01-04 16:00:05.040,1010123004145925,29.0,2023-01-04 16:00:09.460
276,2023-01-04 16:00:12.450,1010123004145933,28.7,2023-01-04 16:00:16.901
277,2023-01-04 16:00:19.871,1010123004145940,28.8,2023-01-04 16:00:24.371
278,2023-01-04 16:00:27.270,1010123004145948,28.6,2023-01-04 16:00:31.730
279,2023-01-04 16:00:34.680,1010123004145955,28.9,2023-01-04 16:00:39.091
280,2023-01-04 16:00:42.121,1010123004150002,28.8,2023-01-04 16:00:46.611
