,time,TraceabilityCode,PressForceValueRL,time.value
161,2023-01-04 15:30:38.193,1010123004142959,28.5,2023-01-04 15:30:42.671
162,2023-01-04 15:30:45.612,1010123004143006,28.8,2023-01-04 15:30:50.112
163,2023-01-04 15:30:52.943,1010123004143013,28.2,2023-01-04 15:30:57.381
164,2023-01-04 15:31:07.743,1010123004143028,28.5,2023-01-04 15:31:12.171
165,2023-01-04 15:31:15.193,1010123004143035,28.8,2023-01-04 15:31:19.601
166,2023-01-04 15:31:22.451,1010123004143043,28.5,2023-01-04 15:31:26.961
167,2023-01-04 15:31:44.681,1010123004143105,28.0,2023-01-04 15:31:49.151
168,2023-01-04 15:31:52.101,1010123004143113,28.2,2023-01-04 15:31:56.582
169,2023-01-04 15:31:59.461,1010123004143120,28.0,2023-01-04 15:32:03.921
170,2023-01-04 15:32:06.911,1010123004143127,28.2,2023-01-04 15:32:11.292
171,2023-01-04 15:32:14.332,1010123004143135,28.5,2023-01-04 15:32:18.762
172,2023-01-04 15:32:21.710,1010123004143142,28.2,2023-01-04 15:32:26.190
173,2023-01-04 15:32:29.200,1010123004143149,28.0,2023-01-04 15:32:33.710
174,2023-01-04 15:32:36.540,1010123004143157,28.2,2023-01-04 15:32:40.990
175,2023-01-04 15:47:36.776,1010123004143212,27.4,2023-01-04 15:47:42.585
176,2023-01-04 15:47:44.696,1010123004143227,27.7,2023-01-04 15:47:49.134
177,2023-01-04 15:47:59.734,1010123004143234,27.2,2023-01-04 15:48:04.164
178,2023-01-04 15:48:12.974,1010123004143241,27.4,2023-01-04 15:48:17.365
179,2023-01-04 15:48:43.335,1010123004144726,28.0,2023-01-04 15:48:47.765
180,2023-01-04 15:49:42.683,1010123004144736,27.7,2023-01-04 15:49:47.121
181,2023-01-04 15:49:57.602,1010123004144810,28.0,2023-01-04 15:50:02.111
182,2023-01-04 15:50:19.842,1010123004144847,27.4,2023-01-04 15:50:24.262
183,2023-01-04 15:50:27.111,1010123004144948,28.0,2023-01-04 15:50:31.561
184,2023-01-04 15:50:34.482,1010123004144955,27.7,2023-01-04 15:50:38.992
185,2023-01-04 15:50:41.961,1010123004145002,28.0,2023-01-04 15:50:46.361
186,2023-01-04 15:50:49.391,1010123004145010,27.4,2023-01-04 15:50:53.782
187,2023-01-04 15:50:56.792,1010123004145017,28.0,2023-01-04 15:51:01.211
188,2023-01-04 15:51:11.601,1010123004145032,27.7,2023-01-04 15:51:16.121
189,2023-01-04 15:51:19.052,1010123004145039,28.0,2023-01-04 15:51:23.480
190,2023-01-04 15:51:26.301,1010123004145047,27.4,2023-01-04 15:51:30.839
191,2023-01-04 15:51:33.760,1010123004145054,28.2,2023-01-04 15:51:38.190
192,2023-01-04 15:51:48.510,1010123004145109,27.7,2023-01-04 15:51:52.901
193,2023-01-04 15:51:55.901,1010123004145116,28.0,2023-01-04 15:52:00.450
194,2023-01-04 15:52:03.341,1010123004145124,28.2,2023-01-04 15:52:07.809
195,2023-01-04 15:52:10.720,1010123004145131,28.5,2023-01-04 15:52:15.170
196,2023-01-04 15:52:18.040,1010123004145139,28.2,2023-01-04 15:52:22.578
197,2023-01-04 15:52:32.819,1010123004145153,28.5,2023-01-04 15:52:37.219
198,2023-01-04 15:52:40.200,1010123004145201,28.2,2023-01-04 15:52:44.688
199,2023-01-04 15:52:47.549,1010123004145208,28.0,2023-01-04 15:52:52.049
200,2023-01-04 15:52:55.148,1010123004145215,28.5,2023-01-04 15:52:59.648
201,2023-01-04 15:53:09.838,1010123004145230,28.2,2023-01-04 15:53:14.259
202,2023-01-04 15:53:17.249,1010123004145238,28.0,2023-01-04 15:53:21.688
203,2023-01-04 15:53:32.098,1010123004145252,28.5,2023-01-04 15:53:36.598
204,2023-01-04 15:53:39.479,1010123004145300,28.8,2023-01-04 15:53:43.969
205,2023-01-04 15:53:47.069,1010123004145307,27.7,2023-01-04 15:53:51.486
206,2023-01-04 15:53:54.398,1010123004145315,28.0,2023-01-04 15:53:58.917
207,2023-01-04 15:54:01.818,1010123004145322,28.2,2023-01-04 15:54:06.286
208,2023-01-04 15:54:09.227,1010123004145329,28.5,2023-01-04 15:54:13.717
209,2023-01-04 15:54:16.638,1010123004145337,28.2,2023-01-04 15:54:21.058
210,2023-01-04 15:54:24.148,1010123004145344,28.0,2023-01-04 15:54:28.598
211,2023-01-04 15:54:31.628,1010123004145352,28.5,2023-01-04 15:54:36.127
212,2023-01-04 15:54:38.967,1010123004145359,28.0,2023-01-04 15:54:43.407
213,2023-01-04 15:54:46.247,1010123004145407,27.7,2023-01-04 15:54:50.766
214,2023-01-04 15:54:53.786,1010123004145414,28.0,2023-01-04 15:54:58.276
215,2023-01-04 15:55:15.996,1010123004145436,28.2,2023-01-04 15:55:20.426
216,2023-01-04 15:55:30.826,1010123004145451,28.5,2023-01-04 15:55:35.335
217,2023-01-04 15:55:38.226,1010123004145459,28.2,2023-01-04 15:55:42.686
218,2023-01-04 15:55:45.607,1010123004145506,28.0,2023-01-04 15:55:50.035
219,2023-01-04 15:55:52.974,1010123004145513,28.5,2023-01-04 15:55:57.454
220,2023-01-04 15:56:00.494,1010123004145521,27.7,2023-01-04 15:56:04.974
221,2023-01-04 15:56:07.904,1010123004145528,28.2,2023-01-04 15:56:12.375
222,2023-01-04 15:56:30.154,1010123004145550,28.5,2023-01-04 15:56:34.605
223,2023-01-04 15:56:37.615,1010123004145558,28.2,2023-01-04 15:56:42.124
224,2023-01-04 15:56:44.954,1010123004145605,28.5,2023-01-04 15:56:49.454
225,2023-01-04 15:56:52.375,1010123004145613,28.0,2023-01-04 15:56:56.813
226,2023-01-04 15:56:59.785,1010123004145620,28.5,2023-01-04 15:57:04.283
227,2023-01-04 15:57:07.015,1010123004145627,28.8,2023-01-04 15:57:11.563
228,2023-01-04 15:57:14.384,1010123004145635,28.0,2023-01-04 15:57:18.924
229,2023-01-04 15:57:29.194,1010123004145650,28.2,2023-01-04 15:57:33.693
230,2023-01-04 15:57:58.844,1010123004145719,27.7,2023-01-04 15:58:03.404
231,2023-01-04 15:58:13.743,1010123004145734,28.0,2023-01-04 15:58:18.173
232,2023-01-04 15:58:28.572,1010123004145749,28.2,2023-01-04 15:58:33.012
233,2023-01-04 15:58:35.923,1010123004145756,28.0,2023-01-04 15:58:40.381
234,2023-01-04 15:58:50.782,1010123004145811,28.2,2023-01-04 15:58:55.253
235,2023-01-04 15:58:58.243,1010123004145819,28.8,2023-01-04 15:59:02.773
236,2023-01-04 15:59:05.683,1010123004145826,28.0,2023-01-04 15:59:10.121
237,2023-01-04 15:59:13.032,1010123004145833,28.2,2023-01-04 15:59:17.542
238,2023-01-04 15:59:20.522,1010123004145841,28.0,2023-01-04 15:59:24.901
239,2023-01-04 15:59:27.901,1010123004145848,28.5,2023-01-04 15:59:32.460
240,2023-01-04 15:59:42.842,1010123004145903,28.0,2023-01-04 15:59:47.331
241,2023-01-04 15:59:50.220,1010123004145910,28.2,2023-01-04 15:59:54.690
242,2023-01-04 15:59:57.591,1010123004145918,28.5,2023-01-04 16:00:02.111
243,2023-01-04 16:00:05.040,1010123004145925,28.0,2023-01-04 16:00:09.460
244,2023-01-04 16:00:19.871,1010123004145940,28.5,2023-01-04 16:00:24.371
245,2023-01-04 16:00:27.270,1010123004145948,27.7,2023-01-04 16:00:31.730
246,2023-01-04 16:00:34.680,1010123004145955,28.5,2023-01-04 16:00:39.091
247,2023-01-04 16:00:42.121,1010123004150002,28.8,2023-01-04 16:00:46.611
248,2023-01-04 16:00:49.510,1010123004150010,28.2,2023-01-04 16:00:53.950
249,2023-01-04 16:01:04.769,1010123004150032,27.7,2023-01-04 16:01:09.299
250,2023-01-04 16:01:12.809,1010123004150039,28.0,2023-01-04 16:01:17.249
251,2023-01-04 16:01:27.569,1010123004150053,28.2,2023-01-04 16:01:31.969
252,2023-01-04 16:04:53.516,1010123004150122,27.7,2023-01-04 16:04:58.066
253,2023-01-04 16:05:01.326,1010123004150136,28.0,2023-01-04 16:05:05.907
254,2023-01-04 16:06:16.135,1010123004150157,27.7,2023-01-04 16:06:20.585
255,2023-01-04 16:06:23.966,1010123004150212,27.2,2023-01-04 16:09:19.691
256,2023-01-04 16:09:26.171,1010123004150427,27.7,2023-01-04 16:09:30.680
257,2023-01-04 16:09:35.121,1010123004150450,27.4,2023-01-04 16:09:39.592
258,2023-01-04 16:09:43.002,1010123004150509,27.7,2023-01-04 16:09:47.500
259,2023-01-04 16:09:50.861,1010123004150519,27.4,2023-01-04 16:09:55.411
260,2023-01-04 16:14:55.486,1010123004150917,28.0,2023-01-04 16:15:00.065
261,2023-01-04 16:15:39.415,1010123004151458,27.4,2023-01-04 16:15:43.895
262,2023-01-04 16:15:46.686,1010123004151506,27.7,2023-01-04 16:15:51.154
263,2023-01-04 16:16:09.015,1010123004151529,28.2,2023-01-04 16:16:13.493
264,2023-01-04 16:16:23.924,1010123004151543,28.0,2023-01-04 16:16:28.342
265,2023-01-04 16:17:01.453,1010123004151621,28.2,2023-01-04 16:17:05.892
266,2023-01-04 16:17:31.213,1010123004151651,28.8,2023-01-04 16:17:35.743
267,2023-01-04 16:17:38.483,1010123004151658,28.2,2023-01-04 16:17:43.003
268,2023-01-04 16:17:45.763,1010123004151706,28.5,2023-01-04 16:17:50.272
269,2023-01-04 16:18:00.542,1010123004151721,28.2,2023-01-04 16:18:05.102
270,2023-01-04 16:18:15.523,1010123004151735,28.0,2023-01-04 16:18:19.953
271,2023-01-04 16:18:22.891,1010123004151743,28.2,2023-01-04 16:18:27.302
272,2023-01-04 16:18:30.471,1010123004151750,28.5,2023-01-04 16:18:34.930
273,2023-01-04 16:18:37.901,1010123004151757,28.0,2023-01-04 16:18:42.381
274,2023-01-04 16:18:45.211,1010123004151805,27.7,2023-01-04 16:18:49.651
275,2023-01-04 16:18:52.461,1010123004151812,28.0,2023-01-04 16:18:56.911
276,2023-01-04 16:18:59.762,1010123004151820,28.2,2023-01-04 16:19:04.180
277,2023-01-04 16:19:07.111,1010123004151827,27.7,2023-01-04 16:19:11.581
278,2023-01-04 16:19:14.451,1010123004151835,28.0,2023-01-04 16:19:18.950
279,2023-01-04 16:19:21.821,1010123004151842,28.2,2023-01-04 16:19:26.381
280,2023-01-04 16:19:29.220,1010123004151849,28.0,2023-01-04 16:19:33.651
281,2023-01-04 16:19:36.480,1010123004151857,28.2,2023-01-04 16:19:40.911
282,2023-01-04 16:19:51.319,1010123004151911,27.7,2023-01-04 16:19:55.829
283,2023-01-04 16:28:23.112,1010123004151933,27.4,2023-01-04 16:28:27.592
284,2023-01-04 16:28:31.112,1010123004151941,27.7,2023-01-04 16:28:35.512
285,2023-01-04 16:29:26.081,1010123004151948,26.9,2023-01-04 16:29:32.599
286,2023-01-04 16:29:38.230,1010123004151956,28.0,2023-01-04 16:29:42.680
287,2023-01-04 16:29:45.571,1010123004152748,27.7,2023-01-04 16:29:50.161
288,2023-01-04 16:29:52.930,1010123004152804,27.4,2023-01-04 16:29:57.430
289,2023-01-04 16:30:00.230,1010123004152816,28.0,2023-01-04 16:30:04.690
290,2023-01-04 16:30:07.510,1010123004152824,27.4,2023-01-04 16:30:12.051
291,2023-01-04 16:30:14.790,1010123004152930,27.7,2023-01-04 16:30:19.359
292,2023-01-04 16:30:29.569,1010123004152949,28.2,2023-01-04 16:30:34.039
293,2023-01-04 16:30:36.970,1010123004152957,27.7,2023-01-04 16:30:41.390
294,2023-01-04 16:30:44.349,1010123004153004,28.2,2023-01-04 16:30:48.880
295,2023-01-04 16:30:51.670,1010123004153011,28.0,2023-01-04 16:30:56.138
296,2023-01-04 16:30:59.119,1010123004153019,27.7,2023-01-04 16:31:03.559
297,2023-01-04 16:31:06.430,1010123004153026,28.0,2023-01-04 16:31:10.839
298,2023-01-04 16:31:21.158,1010123004153041,28.2,2023-01-04 16:31:25.677
299,2023-01-04 16:31:35.868,1010123004153056,27.7,2023-01-04 16:31:40.288
300,2023-01-04 16:31:43.769,1010123004153103,28.2,2023-01-04 16:31:48.257
301,2023-01-04 16:31:51.029,1010123004153111,28.0,2023-01-04 16:31:55.558
302,2023-01-04 16:31:58.438,1010123004153118,28.2,2023-01-04 16:32:02.868
303,2023-01-04 16:32:05.678,1010123004153125,28.0,2023-01-04 16:32:10.148
304,2023-01-04 16:32:28.157,1010123004153147,28.5,2023-01-04 16:32:32.596
305,2023-01-04 16:32:35.548,1010123004153155,28.0,2023-01-04 16:32:40.006
306,2023-01-04 16:32:42.818,1010123004153202,28.5,2023-01-04 16:32:47.336
307,2023-01-04 16:32:50.078,1010123004153210,28.0,2023-01-04 16:32:54.526
308,2023-01-04 16:33:04.756,1010123004153224,28.2,2023-01-04 16:33:09.286
309,2023-01-04 16:33:12.086,1010123004153232,28.0,2023-01-04 16:33:16.546
310,2023-01-04 16:33:27.407,1010123004153246,28.2,2023-01-04 16:33:31.885
311,2023-01-04 16:33:34.687,1010123004153254,27.7,2023-01-04 16:33:39.155
312,2023-01-04 16:33:41.966,1010123004153301,28.2,2023-01-04 16:33:46.395
313,2023-01-04 16:34:17.226,1010123004153345,28.0,2023-01-04 16:34:21.706
314,2023-01-04 16:34:46.286,1010123004153414,28.2,2023-01-04 16:34:50.706
315,2023-01-04 16:35:00.244,1010123004153428,28.0,2023-01-04 16:35:04.694
316,2023-01-04 16:35:07.954,1010123004153435,28.2,2023-01-04 16:35:12.473
317,2023-01-04 16:36:05.063,1010123004153533,28.0,2023-01-04 16:36:09.572
318,2023-01-04 16:36:12.674,1010123004153540,28.5,2023-01-04 16:36:17.112
319,2023-01-04 16:36:26.653,1010123004153554,28.0,2023-01-04 16:36:31.171
320,2023-01-04 16:46:44.604,1010123004154224,27.7,2023-01-04 16:46:49.114
321,2023-01-04 16:46:57.592,1010123004154232,27.4,2023-01-04 16:47:02.052
322,2023-01-04 16:47:04.963,1010123004154239,27.7,2023-01-04 16:47:09.441
