,time,TraceabilityCode,PressForceValueFR,time.value
196,2023-01-04 15:55:38.226,1010123004145459,28.0,2023-01-04 15:55:42.686
197,2023-01-04 15:55:45.607,1010123004145506,28.2,2023-01-04 15:55:50.035
198,2023-01-04 15:56:00.494,1010123004145521,27.7,2023-01-04 15:56:04.974
199,2023-01-04 15:56:07.904,1010123004145528,28.2,2023-01-04 15:56:12.375
200,2023-01-04 15:56:37.615,1010123004145558,28.0,2023-01-04 15:56:42.124
201,2023-01-04 15:56:44.954,1010123004145605,28.5,2023-01-04 15:56:49.454
202,2023-01-04 15:56:52.375,1010123004145613,28.0,2023-01-04 15:56:56.813
203,2023-01-04 15:56:59.785,1010123004145620,28.2,2023-01-04 15:57:04.283
204,2023-01-04 15:57:14.384,1010123004145635,28.0,2023-01-04 15:57:18.924
205,2023-01-04 15:57:21.854,1010123004145642,28.2,2023-01-04 15:57:26.352
206,2023-01-04 15:57:36.614,1010123004145657,28.5,2023-01-04 15:57:41.072
207,2023-01-04 15:57:44.144,1010123004145705,28.0,2023-01-04 15:57:48.612
208,2023-01-04 15:57:51.503,1010123004145712,28.2,2023-01-04 15:57:55.953
209,2023-01-04 15:58:06.364,1010123004145727,28.0,2023-01-04 15:58:10.842
210,2023-01-04 15:58:13.743,1010123004145734,28.2,2023-01-04 15:58:18.173
211,2023-01-04 15:58:21.082,1010123004145741,28.5,2023-01-04 15:58:25.542
212,2023-01-04 15:58:28.572,1010123004145749,28.2,2023-01-04 15:58:33.012
213,2023-01-04 15:58:43.392,1010123004145804,28.0,2023-01-04 15:58:47.891
214,2023-01-04 15:58:50.782,1010123004145811,28.2,2023-01-04 15:58:55.253
215,2023-01-04 15:58:58.243,1010123004145819,28.5,2023-01-04 15:59:02.773
216,2023-01-04 15:59:05.683,1010123004145826,28.0,2023-01-04 15:59:10.121
217,2023-01-04 15:59:20.522,1010123004145841,28.2,2023-01-04 15:59:24.901
218,2023-01-04 15:59:35.401,1010123004145856,27.7,2023-01-04 15:59:39.871
219,2023-01-04 15:59:42.842,1010123004145903,28.5,2023-01-04 15:59:47.331
220,2023-01-04 15:59:50.220,1010123004145910,28.2,2023-01-04 15:59:54.690
221,2023-01-04 15:59:57.591,1010123004145918,28.0,2023-01-04 16:00:02.111
222,2023-01-04 16:00:05.040,1010123004145925,28.2,2023-01-04 16:00:09.460
223,2023-01-04 16:00:27.270,1010123004145948,28.0,2023-01-04 16:00:31.730
224,2023-01-04 16:00:34.680,1010123004145955,28.5,2023-01-04 16:00:39.091
225,2023-01-04 16:01:04.769,1010123004150032,28.0,2023-01-04 16:01:09.299
226,2023-01-04 16:01:27.569,1010123004150053,28.2,2023-01-04 16:01:31.969
227,2023-01-04 16:05:01.326,1010123004150136,27.7,2023-01-04 16:05:05.907
228,2023-01-04 16:05:08.726,1010123004150143,28.0,2023-01-04 16:05:13.256
229,2023-01-04 16:09:26.171,1010123004150427,27.7,2023-01-04 16:09:30.680
230,2023-01-04 16:09:35.121,1010123004150450,28.0,2023-01-04 16:09:39.592
231,2023-01-04 16:09:43.002,1010123004150509,27.4,2023-01-04 16:09:47.500
232,2023-01-04 16:09:50.861,1010123004150519,28.0,2023-01-04 16:09:55.411
233,2023-01-04 16:14:55.486,1010123004150917,27.7,2023-01-04 16:15:00.065
234,2023-01-04 16:15:02.895,1010123004150924,27.4,2023-01-04 16:15:07.335
235,2023-01-04 16:15:24.756,1010123004151435,27.7,2023-01-04 16:15:29.246
236,2023-01-04 16:15:32.085,1010123004151449,27.2,2023-01-04 16:15:36.536
237,2023-01-04 16:15:39.415,1010123004151458,27.7,2023-01-04 16:15:43.895
238,2023-01-04 16:15:46.686,1010123004151506,27.4,2023-01-04 16:15:51.154
239,2023-01-04 16:16:23.924,1010123004151543,28.0,2023-01-04 16:16:28.342
240,2023-01-04 16:16:31.334,1010123004151551,27.7,2023-01-04 16:16:35.882
241,2023-01-04 16:16:46.334,1010123004151606,28.0,2023-01-04 16:16:50.773
242,2023-01-04 16:16:53.963,1010123004151613,27.7,2023-01-04 16:16:58.533
243,2023-01-04 16:17:01.453,1010123004151621,28.2,2023-01-04 16:17:05.892
244,2023-01-04 16:17:08.934,1010123004151628,27.7,2023-01-04 16:17:13.332
245,2023-01-04 16:17:23.842,1010123004151643,28.0,2023-01-04 16:17:28.392
246,2023-01-04 16:17:31.213,1010123004151651,27.7,2023-01-04 16:17:35.743
247,2023-01-04 16:17:45.763,1010123004151706,28.0,2023-01-04 16:17:50.272
248,2023-01-04 16:17:53.132,1010123004151713,27.7,2023-01-04 16:17:57.673
249,2023-01-04 16:18:52.461,1010123004151812,28.0,2023-01-04 16:18:56.911
250,2023-01-04 16:19:07.111,1010123004151827,27.7,2023-01-04 16:19:11.581
251,2023-01-04 16:19:21.821,1010123004151842,28.0,2023-01-04 16:19:26.381
252,2023-01-04 16:19:29.220,1010123004151849,27.7,2023-01-04 16:19:33.651
253,2023-01-04 16:19:36.480,1010123004151857,28.2,2023-01-04 16:19:40.911
254,2023-01-04 16:19:51.319,1010123004151911,27.7,2023-01-04 16:19:55.829
255,2023-01-04 16:27:51.273,1010123004151919,27.4,2023-01-04 16:27:57.973
256,2023-01-04 16:28:13.973,1010123004151926,27.7,2023-01-04 16:28:18.482
257,2023-01-04 16:28:23.112,1010123004151933,28.0,2023-01-04 16:28:27.592
258,2023-01-04 16:29:26.081,1010123004151948,27.7,2023-01-04 16:29:32.599
259,2023-01-04 16:29:52.930,1010123004152804,28.0,2023-01-04 16:29:57.430
260,2023-01-04 16:30:07.510,1010123004152824,27.4,2023-01-04 16:30:12.051
261,2023-01-04 16:30:14.790,1010123004152930,28.0,2023-01-04 16:30:19.359
262,2023-01-04 16:30:22.240,1010123004152938,28.2,2023-01-04 16:30:26.710
263,2023-01-04 16:30:29.569,1010123004152949,28.0,2023-01-04 16:30:34.039
264,2023-01-04 16:30:36.970,1010123004152957,27.7,2023-01-04 16:30:41.390
265,2023-01-04 16:30:44.349,1010123004153004,28.0,2023-01-04 16:30:48.880
266,2023-01-04 16:30:51.670,1010123004153011,27.7,2023-01-04 16:30:56.138
267,2023-01-04 16:31:06.430,1010123004153026,28.0,2023-01-04 16:31:10.839
268,2023-01-04 16:31:28.489,1010123004153049,28.2,2023-01-04 16:31:32.947
269,2023-01-04 16:31:35.868,1010123004153056,28.0,2023-01-04 16:31:40.288
270,2023-01-04 16:31:43.769,1010123004153103,28.2,2023-01-04 16:31:48.257
271,2023-01-04 16:31:51.029,1010123004153111,28.0,2023-01-04 16:31:55.558
272,2023-01-04 16:31:58.438,1010123004153118,27.7,2023-01-04 16:32:02.868
273,2023-01-04 16:32:05.678,1010123004153125,28.0,2023-01-04 16:32:10.148
274,2023-01-04 16:32:20.348,1010123004153140,28.5,2023-01-04 16:32:24.757
275,2023-01-04 16:32:28.157,1010123004153147,28.0,2023-01-04 16:32:32.596
276,2023-01-04 16:32:35.548,1010123004153155,28.2,2023-01-04 16:32:40.006
277,2023-01-04 16:32:42.818,1010123004153202,28.0,2023-01-04 16:32:47.336
278,2023-01-04 16:32:50.078,1010123004153210,28.2,2023-01-04 16:32:54.526
279,2023-01-04 16:33:04.756,1010123004153224,28.5,2023-01-04 16:33:09.286
280,2023-01-04 16:33:12.086,1010123004153232,28.2,2023-01-04 16:33:16.546
281,2023-01-04 16:33:20.046,1010123004153239,28.0,2023-01-04 16:33:24.466
282,2023-01-04 16:33:27.407,1010123004153246,28.2,2023-01-04 16:33:31.885
283,2023-01-04 16:33:34.687,1010123004153254,28.0,2023-01-04 16:33:39.155
284,2023-01-04 16:33:41.966,1010123004153301,28.5,2023-01-04 16:33:46.395
