players_id_in,players_id_out,manager_id,gameweek,type,result,transfer_id,player_name_in,photo_in,team_in,player_name_out,photo_out,team_out
428,433,Santi,22,w,di,31615613,Son,85971,TOT,Højbjerg,132015,TOT
141,520,Santi,22,w,a,31615614,Chalobah,180736,CHE,Koulibaly,86129,CHE
85,558,Santi,22,w,a,31615615,Henry,194010,BRE,Bueno,490721,WOL
586,299,Santi,22,w,di,31615616,Estupiñán,204214,BHA,Walker,58621,MCI
428,519,Youssef,22,w,di,31639732,Son,85971,TOT,Eriksen,80607,MUN
465,519,Youssef,22,w,a,31639733,Bowen,178186,WHU,Eriksen,80607,MUN
160,519,Youssef,22,w,do,31639734,Zaha,82403,CRY,Eriksen,80607,MUN
373,519,Youssef,22,w,do,31639735,Willock,200089,NEW,Eriksen,80607,MUN
432,258,Youssef,22,w,di,31639736,Davies,115556,TOT,Castagne,166477,LEI
586,306,Sami,22,w,a,31790911,Estupiñán,204214,BHA,Cancelo,121145,MCI
705,116,Sami,22,w,a,31790912,Ouattara,533463,BOU,Mac Allister,243016,BHA
428,493,Sami,22,w,di,31790913,Son,85971,TOT,Gibbs-White,222531,NFO
85,306,Sami,22,w,di,31790914,Henry,194010,BRE,Cancelo,121145,MCI
340,493,Sami,22,w,a,31790915,Sancho,209243,MUN,Gibbs-White,222531,NFO
724,45,Ali,22,w,a,33626166,Enzo,448047,CHE,Bailey,215711,AVL
689,569,Ali,22,w,a,33626167,Badiashile,242880,CHE,Lewis,477064,MCI
733,628,Ali,22,w,a,33626168,Pedro Porro,441164,TOT,Aurier,80226,NFO
729,238,Ali,22,w,a,33626169,Navas,28411,NFO,Meslier,437495,LEE
88,225,Santi,22,f,a,33648134,Jensen,207283,BRE,Rodrigo,80954,LEE
710,92,Ruslan,22,f,a,33663286,Kiwior,440854,ARS,Pinnock,231065,BRE
130,407,Ruslan,22,f,a,33663428,Jorginho,85955,ARS,Ward-Prowse,101178,SOU
684,594,Ruslan,22,f,a,33664457,D.D.Fofana,520295,CHE,Isak,219168,NEW
702,454,Shrey,22,f,a,33678857,Weghorst,120202,MUN,Richarlison,212319,TOT
533,457,Shrey,22,f,a,33679166,Martínez,221820,MUN,Cresswell,55459,WHU
166,255,Shrey,22,f,a,33679281,Edouard,199670,CRY,Vardy,101668,LEI
92,141,Santi,23,w,a,34389482,Pinnock,231065,BRE,Chalobah,180736,CHE
728,609,Santi,23,w,a,34389483,Sabitzer,101338,MUN,Antony,467169,MUN
493,609,Santi,23,w,do,34389484,Gibbs-White,222531,NFO,Antony,467169,MUN
484,299,Santi,23,w,di,34389485,Kilman,214048,WOL,Walker,58621,MCI
92,417,Shrey,23,w,di,35035137,Pinnock,231065,BRE,Perraud,244560,SOU
484,417,Shrey,23,w,a,35035138,Kilman,214048,WOL,Perraud,244560,SOU
262,702,Shrey,23,w,a,35035139,Iheanacho,173515,LEI,Weghorst,120202,MUN
594,30,Shrey,23,w,a,35035140,Isak,219168,NEW,Ings,84939,WHU
240,483,Ali,23,w,a,35183217,Summerville,450070,LEE,Podence,200600,WOL
182,31,Ali,23,w,a,35183218,Pickford,111234,EVE,Martínez,98980,AVL
714,465,Youssef,23,w,a,35185025,Tetê,225295,LEI,Bowen,178186,WHU
628,258,Youssef,23,w,a,35185026,Aurier,80226,NFO,Castagne,166477,LEI
262,66,Youssef,23,w,di,35185027,Iheanacho,173515,LEI,Solanke,154566,BOU
139,341,Youssef,23,w,a,35185028,Chilwell,172850,CHE,Wan-Bissaka,214590,MUN
458,66,Youssef,23,w,a,35185029,Antonio,57531,WHU,Solanke,154566,BOU
103,66,Youssef,23,w,do,35185030,Welbeck,50175,BHA,Solanke,154566,BOU
708,705,Sami,23,w,a,35409777,Madueke,248857,CHE,Ouattara,533463,BOU
493,705,Sami,23,w,do,35409778,Gibbs-White,222531,NFO,Ouattara,533463,BOU
189,705,Sami,23,w,do,35409779,Gray,172632,EVE,Ouattara,533463,BOU
445,299,Santi,23,f,a,35503617,Emerson Royal,241157,TOT,Walker,58621,MCI
199,733,Ali,23,f,a,35511193,Tarkowski,17761,EVE,Pedro Porro,441164,TOT
8,710,Ruslan,23,f,a,35544853,Tierney,192895,ARS,Kiwior,440854,ARS
194,8,Ruslan,23,f,a,35548421,Mykolenko,224967,EVE,Tierney,192895,ARS
702,411,Dani,24,w,a,35765283,Weghorst,120202,MUN,Adams,200439,SOU
31,182,Ali,24,w,a,35793429,Martínez,98980,AVL,Pickford,111234,EVE
705,88,Santi,24,w,a,36153459,Ouattara,533463,BOU,Jensen,207283,BRE
470,474,Santi,24,w,a,36153460,Diop,219924,FUL,Boly,90585,NFO
279,458,Youssef,24,w,di,36169046,Firmino,92217,LIV,Antonio,57531,WHU
