,,POS,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,
Starters,"Saka
ARSMID",MID,87,0,1,0,1,0,0,0,0,0,0,0,19,24.6,42.7,49,11.6,Yahya
Starters,"Mount
CHEMID",MID,90,0,1,0,2,0,0,0,0,0,0,0,20,12,27.9,56,9.6,Yahya
Starters,"Sancho
MUNMID",MID,67,1,0,1,0,0,0,0,0,0,0,2,27,35.2,3.3,41,8,Yahya
Starters,"Kane
TOTFWD",FWD,90,0,1,0,1,0,0,0,0,0,0,0,14,6,7.3,65,7.8,Yahya
Substitutes,"Guaita
CRYGKP",GKP,90,0,0,0,1,0,0,0,0,0,2,0,12,17.6,0,0,1.8,Yahya
Substitutes,"Calvert-Lewin
EVEFWD",FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yahya
Substitutes,"Laporte
MCIDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yahya
Substitutes,"Diogo Jota
LIVFWD",FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yahya
,,,,,,,,,,,,,,,,,,,,
Starters,"Mendy
CHEGKP",GKP,90,0,0,0,2,0,0,0,0,0,3,0,15,19.8,0,0,2,Youssef
Starters,"Cucurella
CHEDEF",DEF,90,0,0,0,2,0,0,0,0,0,0,0,17,21,13.4,0,3.4,Youssef
Starters,"Van Dijk
LIVDEF",DEF,90,0,0,0,1,0,0,0,0,0,0,0,15,20.8,12.3,23,5.6,Youssef
Starters,"Dias
MCIDEF",DEF,90,0,0,1,0,0,0,0,0,0,0,0,27,10.8,4.3,2,1.7,Youssef
Starters,"Walker
MCIDEF",DEF,90,0,0,1,0,0,0,0,0,0,0,0,30,20.4,4.3,2,2.7,Youssef
Starters,"De Bruyne
MCIMID",MID,21,0,0,0,0,0,0,0,0,0,0,0,2,14.2,13.8,17,4.5,Youssef
Starters,"Luis Díaz
LIVMID",MID,90,0,0,0,1,0,0,0,0,0,0,0,2,5,4.7,68,7.8,Youssef
Starters,"Gündogan
MCIMID",MID,90,0,0,1,0,0,0,0,0,0,0,0,17,19.8,60.1,2,8.2,Youssef
Starters,"Martinelli
ARSMID",MID,90,1,0,0,1,0,0,0,0,0,0,3,34,44,30.7,69,14.4,Youssef
Starters,"Havertz
CHEFWD",FWD,65,0,0,0,2,0,0,0,0,0,0,0,1,8,2.8,23,3.4,Youssef
Starters,"Ings
WHUFWD",FWD,7,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,2,0.2,Youssef
Substitutes,"De Gea
MUNGKP",GKP,90,0,0,1,0,0,0,0,0,0,2,0,23,11.2,0,0,1.1,Youssef
