,time,TraceabilityCode,Defect
346,2023-01-27 10:40:02,1010123027093534,marks/contamination
347,2023-01-27 10:39:37,1010123027093735,marks/contamination
348,2023-01-26 07:44:29,1010223026063849,deformation
349,2023-01-26 07:44:29,1010223026063849,deformation
350,2023-01-25 19:17:23,1010223025181426,deformation
351,2023-01-25 19:17:13,1010223025181417,deformation
352,2023-01-25 19:17:06,1010223025181409,deformation
353,2023-01-25 19:14:29,1010223025181203,deformation
354,2023-01-25 19:11:35,1010223025180852,deformation
355,2023-01-25 19:11:28,1010223025180843,deformation
356,2023-01-25 19:11:11,1010223025180816,deformation
357,2023-01-25 19:11:03,1010223025180816,deformation
358,2023-01-25 05:23:17,1010123025042139,deformation
359,2023-01-24 17:33:03,1010123024162948,scratch
360,2023-01-24 17:32:46,1010123024162939,scratch
361,2023-01-24 17:32:37,1010123024162930,scratch
362,2023-01-24 14:39:00,1010123024133719,dent
363,2023-01-24 08:55:15,1010223024075234,meterial failure
364,2023-01-24 08:17:15,1010123024071253,deformation
365,2023-01-20 21:39:05,1010223020202034,marks/contamination
366,2023-01-20 21:18:30,1010223020201519,marks/contamination
367,2023-01-20 21:18:23,1010223020201510,marks/contamination
368,2023-01-20 21:18:17,1010223020201452,marks/contamination
369,2023-01-20 21:18:10,1010223020201442,marks/contamination
370,2023-01-20 17:06:16,1010223020160325,deformation
371,2023-01-20 17:05:44,1010223020155429,deformation
372,2023-01-20 13:35:09,1010123020122719,marks
373,2023-01-20 13:34:57,1010123020122659,marks
374,2023-01-20 13:34:06,1010123020122601,marks
375,2023-01-20 10:53:01,1010123020094854,deformation
376,2023-01-20 10:52:54,1010123020094847,deformation
377,2023-01-20 10:52:38,1010123020094833,deformation
378,2023-01-20 10:52:26,1010123020094839,deformation
379,2023-01-20 10:52:15,1010123020094810,deformation
380,2023-01-20 10:52:05,1010123020094803,deformation
381,2023-01-20 10:51:57,1010123020094756,deformation
382,2023-01-20 10:47:31,1010223020094514,meterial failure
383,2023-01-20 10:38:01,1010123020093615,deformation
384,2023-01-20 08:10:39,1010223020070815,deformation
385,2023-01-20 06:06:06,1010123020045713,deformation
386,2023-01-20 06:05:24,1010223020045127,deformation
387,2023-01-20 05:50:46,1010223020040729,deformation
388,2023-01-17 20:11:33,1010223017190025,deformation
389,2023-01-17 20:11:20,1010223017190009,deformation
390,2023-01-17 20:10:35,1010223017185953,deformation
391,2023-01-17 18:26:54,1010123017172254,deformation
392,2023-01-17 18:26:54,1010123017172254,deformation
