,time,TraceabilityCode,Cylinder8MaxParalelismErrorInBDC,time.value
177,2023-01-04 17:55:45.627,1010123004165530,1.7,2023-01-04 17:55:45.857
178,2023-01-04 17:56:58.456,1010123004165643,1.8,2023-01-04 17:56:58.575
179,2023-01-04 17:57:27.506,1010123004165712,1.7,2023-01-04 17:57:27.664
180,2023-01-04 17:58:33.634,1010123004165818,1.8,2023-01-04 17:58:33.844
181,2023-01-04 17:58:41.015,1010123004165825,1.7,2023-01-04 17:58:41.134
182,2023-01-04 17:59:09.854,1010123004165854,1.7,2023-01-04 17:59:09.923
183,2023-01-04 18:00:52.082,1010123004170036,1.8,2023-01-04 18:00:52.181
184,2023-01-04 18:00:59.631,1010123004170044,1.7,2023-01-04 18:00:59.790
185,2023-01-04 18:01:06.971,1010123004170051,1.8,2023-01-04 18:01:07.210
186,2023-01-04 18:01:14.441,1010123004170059,1.7,2023-01-04 18:01:14.581
187,2023-01-04 18:01:37.421,1010123004170120,1.7,2023-01-04 18:01:37.539
188,2023-01-04 18:02:06.990,1010123004170150,1.8,2023-01-04 18:02:07.140
189,2023-01-04 18:02:14.510,1010123004170157,1.7,2023-01-04 18:02:14.581
190,2023-01-04 18:02:53.440,1010223004170238,1.7,2023-01-04 18:02:53.608
191,2023-01-04 18:03:08.539,1010223004170253,1.7,2023-01-04 18:03:08.729
192,2023-01-04 18:03:16.039,1010223004170300,1.8,2023-01-04 18:03:16.190
193,2023-01-04 18:03:38.059,1010223004170322,1.7,2023-01-04 18:03:38.257
194,2023-01-04 18:03:45.517,1010223004170330,1.8,2023-01-04 18:03:45.608
195,2023-01-04 18:03:52.938,1010223004170337,1.7,2023-01-04 18:03:53.128
196,2023-01-04 18:04:07.769,1010223004170352,1.8,2023-01-04 18:04:07.937
197,2023-01-04 18:04:29.967,1010223004170414,1.7,2023-01-04 18:04:30.257
198,2023-01-04 18:04:37.417,1010223004170422,1.8,2023-01-04 18:04:37.627
199,2023-01-04 18:04:52.108,1010223004170437,1.7,2023-01-04 18:04:52.256
