,time,TraceabilityCode,CushionWaterTemperature,time.value
170,2023-01-04 15:49:33.062,1010123004144802,32.6,2023-01-04 15:49:33.242
171,2023-01-04 15:50:09.933,1010123004144948,32.5,2023-01-04 15:50:10.153
172,2023-01-04 15:50:17.332,1010123004144955,32.6,2023-01-04 15:50:17.423
173,2023-01-04 15:50:32.111,1010123004145010,32.5,2023-01-04 15:50:32.311
174,2023-01-04 15:50:39.601,1010123004145017,32.6,2023-01-04 15:50:39.742
175,2023-01-04 15:50:54.312,1010123004145032,32.5,2023-01-04 15:50:54.480
176,2023-01-04 15:51:01.782,1010123004145039,32.6,2023-01-04 15:51:01.992
177,2023-01-04 15:51:16.661,1010123004145054,32.5,2023-01-04 15:51:16.792
178,2023-01-04 15:51:23.970,1010123004145101,32.6,2023-01-04 15:51:24.141
179,2023-01-04 15:51:38.730,1010123004145116,32.5,2023-01-04 15:51:38.871
180,2023-01-04 15:52:00.790,1010123004145139,32.4,2023-01-04 15:52:01.029
181,2023-01-04 15:52:15.680,1010123004145153,32.3,2023-01-04 15:52:15.750
182,2023-01-04 15:52:22.960,1010123004145201,32.2,2023-01-04 15:52:23.108
183,2023-01-04 15:52:37.869,1010123004145215,32.1,2023-01-04 15:52:37.989
184,2023-01-04 15:52:45.259,1010123004145223,32.0,2023-01-04 15:52:45.428
185,2023-01-04 15:52:59.999,1010123004145238,31.9,2023-01-04 15:53:00.138
186,2023-01-04 15:53:07.479,1010123004145245,31.8,2023-01-04 15:53:07.598
187,2023-01-04 15:53:29.749,1010123004145307,31.7,2023-01-04 15:53:29.838
188,2023-01-04 15:54:14.247,1010123004145352,31.6,2023-01-04 15:54:14.476
189,2023-01-04 15:54:21.717,1010123004145359,31.7,2023-01-04 15:54:21.917
190,2023-01-04 15:54:36.657,1010123004145414,31.6,2023-01-04 15:54:36.707
191,2023-01-04 15:54:44.048,1010123004145421,31.7,2023-01-04 15:54:44.157
192,2023-01-04 15:54:58.826,1010123004145436,31.6,2023-01-04 15:54:58.957
193,2023-01-04 15:55:06.226,1010123004145444,31.7,2023-01-04 15:55:06.397
194,2023-01-04 15:55:58.035,1010123004145536,31.8,2023-01-04 15:55:58.244
195,2023-01-04 15:56:05.464,1010123004145543,31.7,2023-01-04 15:56:05.664
196,2023-01-04 15:56:20.394,1010123004145558,31.8,2023-01-04 15:56:20.563
197,2023-01-04 15:56:27.674,1010123004145605,31.7,2023-01-04 15:56:27.904
198,2023-01-04 15:56:35.154,1010123004145613,31.8,2023-01-04 15:56:35.285
199,2023-01-04 15:56:42.525,1010123004145620,31.7,2023-01-04 15:56:42.704
200,2023-01-04 15:56:49.904,1010123004145627,31.8,2023-01-04 15:56:50.073
201,2023-01-04 15:57:19.315,1010123004145657,31.9,2023-01-04 15:57:19.584
202,2023-01-04 15:57:56.563,1010123004145734,32.0,2023-01-04 15:57:56.723
203,2023-01-04 15:58:41.092,1010123004145819,32.1,2023-01-04 15:58:41.201
204,2023-01-04 15:59:03.332,1010123004145841,32.2,2023-01-04 15:59:03.443
205,2023-01-04 15:59:10.723,1010123004145848,32.1,2023-01-04 15:59:10.872
206,2023-01-04 15:59:25.601,1010123004145903,32.2,2023-01-04 15:59:25.750
207,2023-01-04 15:59:40.371,1010123004145918,32.1,2023-01-04 15:59:40.572
208,2023-01-04 15:59:47.842,1010123004145925,32.3,2023-01-04 15:59:47.992
209,2023-01-04 15:59:55.240,1010123004145933,32.2,2023-01-04 15:59:55.440
210,2023-01-04 16:00:10.091,1010123004145948,32.3,2023-01-04 16:00:10.321
211,2023-01-04 16:04:28.117,1010123004150136,32.1,2023-01-04 16:04:35.687
212,2023-01-04 16:04:46.776,1010123004150143,32.2,2023-01-04 16:04:54.476
213,2023-01-04 16:06:06.496,1010123004150212,31.9,2023-01-04 16:06:06.746
214,2023-01-04 16:06:21.335,1010123004150450,32.0,2023-01-04 16:06:21.605
215,2023-01-04 16:06:36.155,1010123004150519,31.9,2023-01-04 16:06:36.325
216,2023-01-04 16:15:36.315,1010123004151513,31.5,2023-01-04 16:15:36.415
217,2023-01-04 16:16:06.075,1010123004151543,31.4,2023-01-04 16:16:06.224
218,2023-01-04 16:16:28.463,1010123004151606,31.3,2023-01-04 16:16:28.644
219,2023-01-04 16:16:43.513,1010123004151621,31.4,2023-01-04 16:16:43.684
220,2023-01-04 16:16:51.003,1010123004151628,31.3,2023-01-04 16:16:51.203
221,2023-01-04 16:17:35.342,1010123004151713,31.2,2023-01-04 16:17:35.523
222,2023-01-04 16:17:57.562,1010123004151735,31.1,2023-01-04 16:17:57.852
