,time,TraceabilityCode,CushionPumpMaxPower2,time.value
257,2023-01-04 17:20:29.993,1010123004161948,55.8,2023-01-04 17:20:30.233
258,2023-01-04 17:20:37.433,1010123004161955,55.2,2023-01-04 17:20:37.592
259,2023-01-04 17:21:24.861,1010123004162109,55.5,2023-01-04 17:21:24.901
260,2023-01-04 17:22:00.881,1010123004162145,54.6,2023-01-04 17:22:01.099
261,2023-01-04 17:22:23.740,1010123004162207,55.5,2023-01-04 17:22:23.910
262,2023-01-04 17:23:56.029,1010123004162341,55.5,2023-01-04 17:23:56.408
263,2023-01-04 17:24:03.459,1010123004162348,54.6,2023-01-04 17:24:03.588
264,2023-01-04 17:24:10.769,1010123004162355,54.9,2023-01-04 17:24:10.959
265,2023-01-04 17:24:33.588,1010123004162417,55.5,2023-01-04 17:24:33.746
266,2023-01-04 17:24:40.997,1010123004162424,54.9,2023-01-04 17:24:41.197
267,2023-01-04 17:24:48.388,1010123004162431,55.2,2023-01-04 17:24:48.637
268,2023-01-04 17:25:03.348,1010123004162445,54.9,2023-01-04 17:25:03.517
269,2023-01-04 17:25:10.788,1010123004162452,55.2,2023-01-04 17:25:10.947
270,2023-01-04 17:26:25.096,1010123004162604,54.9,2023-01-04 17:26:25.286
271,2023-01-04 17:26:32.457,1010123004162612,55.2,2023-01-04 17:26:32.706
272,2023-01-04 17:26:54.536,1010123004162626,55.8,2023-01-04 17:26:54.846
273,2023-01-04 17:27:01.937,1010123004162634,55.2,2023-01-04 17:27:02.145
274,2023-01-04 17:27:09.387,1010123004162641,54.9,2023-01-04 17:27:09.506
275,2023-01-04 17:27:16.627,1010123004162656,55.2,2023-01-04 17:27:16.867
276,2023-01-04 17:27:31.446,1010123004162710,54.9,2023-01-04 17:27:31.664
277,2023-01-04 17:27:38.696,1010123004162718,55.2,2023-01-04 17:27:38.944
278,2023-01-04 17:27:46.085,1010123004162725,54.9,2023-01-04 17:27:46.224
279,2023-01-04 17:28:08.135,1010123004162747,55.2,2023-01-04 17:28:08.394
280,2023-01-04 17:28:15.546,1010123004162754,54.9,2023-01-04 17:28:15.755
281,2023-01-04 17:28:44.835,1010123004162824,54.6,2023-01-04 17:28:45.035
282,2023-01-04 17:29:21.654,1010123004162901,54.9,2023-01-04 17:29:21.924
283,2023-01-04 17:29:29.134,1010123004162908,55.2,2023-01-04 17:29:29.303
284,2023-01-04 17:29:36.634,1010123004162915,54.9,2023-01-04 17:29:36.783
285,2023-01-04 17:31:12.792,1010123004163051,55.2,2023-01-04 17:31:12.963
286,2023-01-04 17:31:20.072,1010123004163059,54.9,2023-01-04 17:31:20.322
287,2023-01-04 17:32:41.220,1010123004163220,54.6,2023-01-04 17:32:41.440
288,2023-01-04 17:32:48.591,1010123004163227,54.9,2023-01-04 17:32:48.790
289,2023-01-04 17:33:03.400,1010123004163242,54.6,2023-01-04 17:33:03.578
290,2023-01-04 17:33:10.769,1010123004163250,54.9,2023-01-04 17:33:10.960
291,2023-01-04 17:33:18.059,1010123004163257,54.6,2023-01-04 17:33:18.319
292,2023-01-04 17:33:25.440,1010123004163304,54.9,2023-01-04 17:33:25.680
293,2023-01-04 17:33:32.799,1010123004163312,54.6,2023-01-04 17:33:33.039
294,2023-01-04 17:33:40.220,1010123004163319,54.9,2023-01-04 17:33:40.440
295,2023-01-04 17:34:02.239,1010123004163341,54.6,2023-01-04 17:34:02.479
296,2023-01-04 17:34:09.499,1010123004163349,54.9,2023-01-04 17:34:09.759
297,2023-01-04 17:34:16.848,1010123004163356,54.6,2023-01-04 17:34:17.118
298,2023-01-04 17:35:10.157,1010123004163455,54.6,2023-01-04 17:35:10.246
299,2023-01-04 17:35:32.006,1010123004163516,55.8,2023-01-04 17:35:32.036
300,2023-01-04 17:36:08.276,1010123004163553,55.2,2023-01-04 17:36:08.395
301,2023-01-04 17:36:44.375,1010123004163629,55.8,2023-01-04 17:36:44.634
302,2023-01-04 17:37:13.325,1010123004163658,55.8,2023-01-04 17:37:13.505
303,2023-01-04 17:37:35.085,1010123004163720,55.8,2023-01-04 17:37:35.334
304,2023-01-04 17:38:03.954,1010123004163749,55.8,2023-01-04 17:38:04.224
305,2023-01-04 17:38:33.053,1010123004163818,56.1,2023-01-04 17:38:33.114
306,2023-01-04 17:38:40.513,1010123004163825,54.6,2023-01-04 17:38:40.644
307,2023-01-04 17:38:47.904,1010123004163832,55.2,2023-01-04 17:38:48.082
308,2023-01-04 17:39:16.624,1010123004163901,55.8,2023-01-04 17:39:16.713
309,2023-01-04 17:39:52.642,1010123004163937,55.8,2023-01-04 17:39:52.812
310,2023-01-04 17:40:21.602,1010123004164006,55.8,2023-01-04 17:40:21.832
311,2023-01-04 17:40:50.522,1010123004164035,55.8,2023-01-04 17:40:50.792
312,2023-01-04 17:43:50.140,1010123004164323,54.3,2023-01-04 17:43:50.329
313,2023-01-04 17:43:57.579,1010123004164330,55.2,2023-01-04 17:43:57.779
314,2023-01-04 17:44:12.589,1010123004164348,54.9,2023-01-04 17:44:12.730
315,2023-01-04 17:45:19.727,1010123004164457,55.2,2023-01-04 17:45:19.987
316,2023-01-04 17:45:27.217,1010123004164505,54.9,2023-01-04 17:45:27.368
317,2023-01-04 17:45:57.236,1010123004164535,55.2,2023-01-04 17:45:57.367
318,2023-01-04 17:46:04.677,1010123004164542,54.9,2023-01-04 17:46:04.805
319,2023-01-04 17:47:11.676,1010123004164649,54.6,2023-01-04 17:47:11.845
320,2023-01-04 17:47:19.155,1010123004164657,54.9,2023-01-04 17:47:19.365
321,2023-01-04 17:47:41.676,1010123004164719,55.2,2023-01-04 17:47:41.936
