time;MaxForceFR
2023-02-09 02:30:58.750 CET;0,9
2023-02-09 02:31:07.790 CET;0,7
2023-02-09 02:31:16.760 CET;0,9
2023-02-09 02:31:25.802 CET;0,7
2023-02-09 02:31:34.829 CET;0,9
2023-02-09 02:31:52.759 CET;1
2023-02-09 02:32:01.950 CET;0,8
2023-02-09 02:32:19.861 CET;0,5
2023-02-09 02:32:28.910 CET;0,6
2023-02-09 02:32:51.401 CET;1,1
2023-02-09 02:33:00.520 CET;1,2
2023-02-09 02:33:09.638 CET;1,4
2023-02-09 02:33:18.678 CET;0,8
2023-02-09 02:33:45.650 CET;1,1
2023-02-09 02:33:54.598 CET;0,9
2023-02-09 02:34:03.729 CET;0,7
2023-02-09 02:34:12.678 CET;0,9
2023-02-09 02:34:21.648 CET;1,1
2023-02-09 02:34:30.519 CET;0,7
2023-02-09 02:34:48.747 CET;0,6
2023-02-09 02:35:06.838 CET;0,9
2023-02-09 02:35:16.039 CET;0,6
2023-02-09 02:35:24.917 CET;0,7
2023-02-09 02:35:43.007 CET;0,6
2023-02-09 02:35:51.967 CET;0,7
2023-02-09 02:36:01.007 CET;0,6
2023-02-09 02:36:19.167 CET;0,8
2023-02-09 02:36:28.357 CET;0,6
2023-02-09 02:42:24.312 CET;1,2
2023-02-09 02:42:32.681 CET;1,3
2023-02-09 02:43:01.371 CET;1,1
2023-02-09 02:43:19.411 CET;0,9
2023-02-09 02:43:37.400 CET;0,6
2023-02-09 02:43:46.520 CET;0,8
2023-02-09 02:43:55.480 CET;0,9
2023-02-09 02:44:04.529 CET;0,5
2023-02-09 02:44:22.601 CET;0,7
2023-02-09 02:44:31.651 CET;0,9
2023-02-09 02:44:40.749 CET;0,6
2023-02-09 02:44:49.799 CET;0,8
2023-02-09 02:44:58.928 CET;0,7
2023-02-09 02:45:07.878 CET;1
2023-02-09 02:45:16.849 CET;0,9
2023-02-09 02:45:35.078 CET;0,8
2023-02-09 02:45:44.038 CET;1
2023-02-09 02:45:53.078 CET;0,8
2023-02-09 02:46:02.028 CET;1
2023-02-09 02:46:11.167 CET;0,8
2023-02-09 02:46:20.127 CET;0,9
2023-02-09 02:46:38.357 CET;0,7
2023-02-09 02:49:47.036 CET;1
2023-02-09 02:49:55.486 CET;0,8
2023-02-09 02:50:12.374 CET;1,1
2023-02-09 02:50:20.773 CET;1
2023-02-09 02:50:38.374 CET;1,2
2023-02-09 02:50:47.253 CET;1,1
2023-02-09 02:50:56.134 CET;1
2023-02-09 02:51:05.015 CET;1,2
2023-02-09 02:51:32.134 CET;1,1
2023-02-09 02:51:41.094 CET;1,3
2023-02-09 02:51:49.892 CET;1
2023-02-09 02:52:07.743 CET;1,3
2023-02-09 02:52:16.782 CET;1
2023-02-09 02:52:25.723 CET;0,9
2023-02-09 02:52:34.773 CET;1
2023-02-09 02:52:43.881 CET;0,9
2023-02-09 02:52:52.852 CET;1
2023-02-09 02:53:20.052 CET;1,1
2023-02-09 02:53:29.013 CET;1
2023-02-09 02:53:38.211 CET;1,1
2023-02-09 02:53:56.441 CET;1
2023-02-09 02:54:14.611 CET;0,9
2023-02-09 02:54:41.651 CET;0,8
2023-02-09 02:54:59.812 CET;0,7
2023-02-09 02:55:08.680 CET;1
2023-02-09 02:55:17.901 CET;0,7
2023-02-09 02:55:35.809 CET;0,5
2023-02-09 02:55:45.091 CET;0,8
2023-02-09 02:55:54.140 CET;0,7
2023-02-09 02:56:12.220 CET;1
2023-02-09 02:56:21.170 CET;0,5
2023-02-09 02:56:36.109 CET;1,1
2023-02-09 02:56:45.420 CET;1,4
2023-02-09 02:56:54.380 CET;1
2023-02-09 02:57:12.539 CET;0,9
2023-02-09 02:57:30.459 CET;0,8
2023-02-09 02:57:48.549 CET;0,7
2023-02-09 02:58:06.778 CET;1
2023-02-09 02:58:15.818 CET;0,6
2023-02-09 02:58:24.779 CET;0,7
2023-02-09 02:58:34.056 CET;0,9
2023-02-09 02:58:43.006 CET;0,6
2023-02-09 02:58:52.147 CET;0,9
2023-02-09 03:00:25.085 CET;1,1
2023-02-09 03:00:33.974 CET;1
2023-02-09 03:00:43.105 CET;0,9
2023-02-09 03:00:52.134 CET;1
2023-02-09 03:01:01.325 CET;0,8
2023-02-09 03:06:28.079 CET;20,9
2023-02-09 03:10:07.717 CET;21,5
2023-02-09 03:20:29.289 CET;0,9
2023-02-09 03:33:37.105 CET;0,7
2023-02-09 03:33:47.174 CET;0,6
2023-02-09 03:36:19.832 CET;0,9
2023-02-09 03:40:05.635 CET;1
2023-02-09 03:40:15.986 CET;0,7
2023-02-09 03:40:26.135 CET;0,6
2023-02-09 03:45:29.592 CET;1,1
2023-02-09 03:45:59.782 CET;0,9
2023-02-09 03:46:09.943 CET;1
2023-02-09 03:46:20.032 CET;1,3
2023-02-09 03:49:05.479 CET;1,1
2023-02-09 03:49:15.578 CET;1,4
2023-02-09 03:49:25.668 CET;1
2023-02-09 03:49:35.749 CET;0,9
2023-02-09 03:49:45.829 CET;1
2023-02-09 03:49:55.910 CET;1,1
