time;PressForceValueRL
2023-01-02 13:08:21.821 CET;23,7
2023-01-02 13:10:09.960 CET;23,4
2023-01-02 13:10:18.859 CET;23,7
2023-01-02 13:10:28.069 CET;23,2
2023-01-02 13:10:37.019 CET;23,7
2023-01-02 13:10:45.980 CET;23,4
2023-01-02 13:10:55.019 CET;23,7
2023-01-02 13:11:03.970 CET;23,4
2023-01-02 13:11:12.938 CET;23,7
2023-01-02 13:11:21.818 CET;23,4
2023-01-02 13:11:39.737 CET;23,7
2023-01-02 13:12:15.578 CET;23,4
2023-01-02 13:12:33.568 CET;23,2
2023-01-02 13:12:42.538 CET;23,7
2023-01-02 13:12:51.417 CET;23,4
2023-01-02 13:14:21.265 CET;23,7
2023-01-02 13:14:39.415 CET;23,4
2023-01-02 13:15:42.295 CET;23,2
2023-01-02 13:16:00.052 CET;23,7
2023-01-02 13:16:09.253 CET;23,4
2023-01-02 13:16:27.273 CET;22,9
2023-01-02 13:16:36.302 CET;23,2
2023-01-02 13:16:54.371 CET;23,4
2023-01-02 13:17:03.181 CET;23,2
2023-01-02 13:17:12.142 CET;23,4
2023-01-02 13:17:21.342 CET;23,7
2023-01-02 13:17:30.540 CET;23,4
2023-01-02 13:17:48.371 CET;23,7
2023-01-02 13:17:57.272 CET;23,2
2023-01-02 13:18:15.181 CET;23,4
2023-01-02 13:18:24.141 CET;23,2
2023-01-02 13:18:51.341 CET;23,4
2023-01-02 13:19:00.230 CET;23,2
2023-01-02 13:19:45.259 CET;23,7
2023-01-02 13:19:54.299 CET;23,2
2023-01-02 13:20:12.219 CET;23,4
2023-01-02 13:20:21.108 CET;23,2
2023-01-02 13:20:39.108 CET;23,4
2023-01-02 13:20:48.227 CET;23,2
2023-01-02 13:21:05.897 CET;23,4
2023-01-02 13:21:15.177 CET;23,2
2023-01-02 13:21:24.138 CET;22,9
2023-01-02 13:21:33.117 CET;23,2
2023-01-02 13:21:42.056 CET;23,4
2023-01-02 13:21:59.996 CET;23,2
2023-01-02 13:22:08.946 CET;23,4
2023-01-02 13:22:17.976 CET;22,9
2023-01-02 13:22:26.877 CET;23,2
2023-01-02 13:22:53.755 CET;23,4
2023-01-02 13:25:18.663 CET;23,2
2023-01-02 13:25:28.483 CET;22,9
2023-01-02 13:25:47.111 CET;23,4
2023-01-02 13:25:55.982 CET;23,2
2023-01-02 13:26:05.032 CET;23,4
2023-01-02 13:26:32.071 CET;23,7
2023-01-02 13:26:50.071 CET;24
2023-01-02 13:26:59.109 CET;23,7
