time;Cylinder4MaxParalelismErrorInBDC
2023-01-02 14:59:39.539 CET;-0,3
2023-01-02 14:59:57.457 CET;-0,2
2023-01-02 15:00:15.378 CET;-0,3
2023-01-02 15:00:24.328 CET;-0,2
2023-01-02 15:00:33.298 CET;-0,3
2023-01-02 15:01:00.257 CET;-0,2
2023-01-02 15:01:09.298 CET;-0,3
2023-01-02 15:01:36.267 CET;-0,2
2023-01-02 15:01:45.217 CET;-0,3
2023-01-02 15:02:21.296 CET;-0,2
2023-01-02 15:02:30.336 CET;-0,3
2023-01-02 15:04:27.063 CET;-0,2
2023-01-02 15:04:45.134 CET;-0,3
2023-01-02 15:06:32.821 CET;-0,2
2023-01-02 15:06:41.780 CET;-0,3
2023-01-02 15:07:35.769 CET;-0,2
2023-01-02 15:07:53.861 CET;-0,3
2023-01-02 15:08:38.819 CET;-0,2
2023-01-02 15:08:47.950 CET;-0,3
2023-01-02 15:10:35.538 CET;-0,2
2023-01-02 15:10:44.496 CET;-0,3
2023-01-02 15:11:56.266 CET;-0,2
2023-01-02 15:12:14.265 CET;-0,3
2023-01-02 15:12:26.795 CET;-0,2
2023-01-02 15:12:36.244 CET;-0,3
2023-01-02 15:12:45.395 CET;-0,2
2023-01-02 15:17:32.918 CET;-0,3
2023-01-02 15:20:43.717 CET;-0,2
2023-01-02 15:21:01.696 CET;-0,3
2023-01-02 15:25:32.661 CET;-0,2
2023-01-02 15:25:41.721 CET;-0,3
2023-01-02 15:29:09.868 CET;-0,2
2023-01-02 15:29:27.947 CET;-0,3
2023-01-02 15:54:42.851 CET;-0,2
2023-01-02 15:54:51.822 CET;-0,3
2023-01-02 15:58:09.328 CET;-0,2
2023-01-02 15:58:18.308 CET;-0,3
2023-01-02 15:58:36.298 CET;-0,2
2023-01-02 15:58:45.257 CET;-0,3
2023-01-02 16:00:06.137 CET;-0,2
2023-01-02 16:00:15.096 CET;-0,3
2023-01-02 16:02:20.775 CET;-0,2
2023-01-02 16:02:29.733 CET;-0,3
2023-01-02 16:02:56.612 CET;-0,2
2023-01-02 16:03:14.532 CET;-0,3
2023-01-02 16:05:18.551 CET;-0,2
2023-01-02 16:05:45.660 CET;-0,3
2023-01-02 16:06:12.779 CET;-0,2
2023-01-02 16:06:30.789 CET;-0,3
2023-01-02 16:06:39.819 CET;-0,2
2023-01-02 16:07:15.898 CET;-0,3
2023-01-02 16:12:50.153 CET;-0,2
2023-01-02 16:12:59.191 CET;-0,3
2023-01-02 16:19:18.457 CET;-0,2
2023-01-02 16:19:49.964 CET;-0,3
2023-01-02 16:22:27.594 CET;-0,2
2023-01-02 16:22:36.631 CET;-0,3
2023-01-02 16:27:43.266 CET;-0,2
2023-01-02 16:28:01.046 CET;-0,3
2023-01-02 16:28:10.006 CET;-0,2
2023-01-02 16:28:18.967 CET;-0,3
2023-01-02 16:31:30.392 CET;-0,2
2023-01-02 16:31:48.312 CET;-0,3
2023-01-02 16:31:57.443 CET;-0,2
2023-01-02 16:32:06.473 CET;-0,3
2023-01-02 16:34:48.960 CET;-0,2
2023-01-02 16:34:58.000 CET;-0,3
2023-01-02 16:35:20.529 CET;-0,2
2023-01-02 16:35:45.579 CET;-0,3
2023-01-02 16:35:54.569 CET;-0,2
2023-01-02 16:36:03.437 CET;-0,3
2023-01-02 16:38:27.286 CET;-0,2
2023-01-02 16:38:36.395 CET;-0,3
2023-01-02 16:42:46.621 CET;-0,2
2023-01-02 16:49:54.434 CET;-0,3
2023-01-02 16:51:24.413 CET;-0,2
2023-01-02 16:51:42.401 CET;-0,3
2023-01-02 16:52:18.173 CET;-0,2
2023-01-02 16:52:27.211 CET;-0,3
2023-01-02 17:29:08.035 CET;-0,2
2023-01-02 17:29:17.005 CET;-0,3
2023-01-02 17:32:13.413 CET;-0,2
2023-01-02 17:32:22.453 CET;-0,3
2023-01-02 17:37:29.727 CET;-0,2
2023-01-02 17:37:38.858 CET;-0,3
2023-01-02 17:47:04.078 CET;-0,2
2023-01-02 17:47:13.029 CET;-0,3
2023-01-02 17:47:39.897 CET;-0,2
2023-01-02 17:47:48.867 CET;-0,3
