time;PressForceValueFL
2023-01-02 14:27:52.976 CET;16,2
2023-01-02 14:28:01.855 CET;16
2023-01-02 14:28:10.904 CET;15,7
2023-01-02 14:28:28.915 CET;16
2023-01-02 14:28:46.664 CET;15,7
2023-01-02 14:29:04.744 CET;16,2
2023-01-02 14:29:13.785 CET;16
2023-01-02 14:29:49.625 CET;15,7
2023-01-02 14:29:58.585 CET;16
2023-01-02 14:31:14.344 CET;15,7
2023-01-02 14:31:31.542 CET;16
2023-01-02 14:31:40.423 CET;15,7
2023-01-02 14:31:49.382 CET;16
2023-01-02 14:31:58.352 CET;15,7
2023-01-02 14:32:07.312 CET;16
2023-01-02 14:32:25.391 CET;16,2
2023-01-02 14:32:34.181 CET;15,7
2023-01-02 14:32:52.020 CET;16
2023-01-02 14:33:00.990 CET;15,4
2023-01-02 14:33:09.961 CET;15,7
2023-01-02 14:34:21.779 CET;15,4
2023-01-02 14:34:39.709 CET;16
2023-01-02 14:34:48.598 CET;15,7
2023-01-02 14:34:57.539 CET;15,4
2023-01-02 14:35:06.509 CET;16
2023-01-02 14:35:24.507 CET;15,7
2023-01-02 14:35:33.558 CET;16
2023-01-02 14:35:42.428 CET;15,7
2023-01-02 14:35:51.388 CET;16
2023-01-02 14:36:24.276 CET;15,7
2023-01-02 14:36:40.038 CET;16
2023-01-02 14:36:49.628 CET;15,7
2023-01-02 14:37:19.716 CET;15,4
2023-01-02 14:37:29.545 CET;15,7
2023-01-02 14:37:39.145 CET;15,4
2023-01-02 14:38:01.234 CET;15,7
2023-01-02 14:38:10.194 CET;16
2023-01-02 14:38:23.226 CET;15,7
2023-01-02 14:38:32.664 CET;15,4
2023-01-02 14:38:42.283 CET;15,7
2023-01-02 14:39:10.115 CET;16
2023-01-02 14:39:19.085 CET;15,7
2023-01-02 14:39:28.032 CET;15,4
2023-01-02 14:39:45.953 CET;15,7
2023-01-02 14:40:13.144 CET;15,4
2023-01-02 14:43:06.490 CET;15,7
2023-01-02 14:43:39.709 CET;15,4
2023-01-02 14:44:11.259 CET;16
2023-01-02 14:44:20.437 CET;16,2
2023-01-02 14:45:06.598 CET;16
2023-01-02 14:45:15.717 CET;16,5
2023-01-02 14:45:24.585 CET;16
2023-01-02 14:45:33.555 CET;16,2
2023-01-02 14:45:42.506 CET;15,7
2023-01-02 14:45:51.476 CET;16,2
2023-01-02 14:46:09.377 CET;16
2023-01-02 14:46:18.196 CET;15,7
2023-01-02 14:46:27.315 CET;16
2023-01-02 14:47:12.275 CET;15,7
2023-01-02 14:47:21.236 CET;16
2023-01-02 14:47:30.204 CET;16,2
2023-01-02 14:47:48.115 CET;16
2023-01-02 14:47:57.234 CET;15,7
2023-01-02 14:48:15.244 CET;16
2023-01-02 14:49:09.233 CET;16,2
2023-01-02 14:49:18.032 CET;15,7
2023-01-02 14:49:45.403 CET;16
2023-01-02 14:50:12.434 CET;15,7
2023-01-02 14:50:21.563 CET;16
2023-01-02 14:50:30.523 CET;16,2
2023-01-02 14:50:39.562 CET;16
2023-01-02 14:50:57.413 CET;16,2
2023-01-02 14:51:24.201 CET;16
2023-01-02 14:51:33.322 CET;15,7
2023-01-02 14:52:27.312 CET;16
2023-01-02 14:52:45.322 CET;16,2
2023-01-02 14:52:54.453 CET;15,7
2023-01-02 14:53:12.454 CET;16
2023-01-02 14:53:21.335 CET;15,7
2023-01-02 14:53:30.286 CET;16
2023-01-02 14:54:15.096 CET;16,2
2023-01-02 14:54:24.058 CET;15,4
2023-01-02 14:54:33.178 CET;15,7
2023-01-02 14:55:00.131 CET;15,4
2023-01-02 14:55:09.171 CET;15,7
2023-01-02 14:55:18.151 CET;16
2023-01-02 14:55:35.983 CET;15,7
2023-01-02 14:55:44.943 CET;16
2023-01-02 14:56:02.934 CET;15,7
2023-01-02 14:58:10.851 CET;16
2023-01-02 14:58:29.349 CET;15,7
2023-01-02 14:58:38.240 CET;16
2023-01-02 14:58:47.839 CET;15,7
2023-01-02 14:59:05.989 CET;16
2023-01-02 14:59:15.019 CET;15,7
2023-01-02 15:00:35.917 CET;16
2023-01-02 15:00:44.878 CET;15,7
2023-01-02 15:01:20.717 CET;15,4
2023-01-02 15:01:29.677 CET;15,7
2023-01-02 15:01:38.558 CET;15,4
2023-01-02 15:01:47.598 CET;15,7
2023-01-02 15:02:05.825 CET;15,4
2023-01-02 15:02:32.717 CET;16
2023-01-02 15:02:41.506 CET;15,7
2023-01-02 15:03:53.924 CET;16
2023-01-02 15:04:02.884 CET;15,7
2023-01-02 15:04:20.785 CET;16
2023-01-02 15:04:29.674 CET;15,7
2023-01-02 15:04:56.632 CET;15,4
2023-01-02 15:05:05.663 CET;15,7
2023-01-02 15:05:32.634 CET;15,4
2023-01-02 15:05:50.552 CET;15,7
2023-01-02 15:06:08.542 CET;15,4
2023-01-02 15:06:17.513 CET;15,7
2023-01-02 15:06:35.430 CET;16
2023-01-02 15:06:44.401 CET;15,7
2023-01-02 15:06:53.351 CET;16
2023-01-02 15:07:29.200 CET;16,5
2023-01-02 15:07:38.161 CET;16,2
2023-01-02 15:07:47.349 CET;16
2023-01-02 15:08:05.279 CET;16,2
2023-01-02 15:08:14.081 CET;16
2023-01-02 15:08:23.269 CET;16,2
2023-01-02 15:08:50.309 CET;16
2023-01-02 15:09:17.369 CET;16,2
2023-01-02 15:09:35.368 CET;16,5
2023-01-02 15:09:44.408 CET;16
2023-01-02 15:09:53.358 CET;16,2
2023-01-02 15:10:11.278 CET;16,5
2023-01-02 15:10:20.237 CET;16,2
2023-01-02 15:10:29.118 CET;16
2023-01-02 15:10:47.197 CET;15,7
2023-01-02 15:10:56.157 CET;16
2023-01-02 15:11:05.196 CET;16,2
