time;ClutchBrakeWaterTemperature
2023-01-02 14:20:08.765 CET;30,2
2023-01-02 14:20:26.763 CET;30,1
2023-01-02 14:21:02.842 CET;30
2023-01-02 14:21:11.802 CET;29,9
2023-01-02 14:21:38.851 CET;29,8
2023-01-02 14:21:57.720 CET;29,9
2023-01-02 14:22:06.691 CET;29,8
2023-01-02 14:22:28.371 CET;29,7
2023-01-02 14:22:52.671 CET;29,6
2023-01-02 14:24:10.398 CET;29,5
2023-01-02 14:24:26.118 CET;29,4
2023-01-02 14:26:20.257 CET;29,2
2023-01-02 14:26:47.575 CET;29,1
2023-01-02 14:27:32.456 CET;29
2023-01-02 14:27:50.496 CET;29,1
2023-01-02 14:27:59.404 CET;29
2023-01-02 14:28:08.375 CET;28,9
2023-01-02 14:29:11.164 CET;28,8
2023-01-02 14:29:38.214 CET;28,9
2023-01-02 14:29:47.244 CET;28,8
2023-01-02 14:30:32.052 CET;28,7
2023-01-02 14:31:42.171 CET;28,6
2023-01-02 14:32:27.811 CET;28,5
2023-01-02 14:33:13.010 CET;28,4
2023-01-02 14:33:58.049 CET;28,3
2023-01-02 14:35:01.569 CET;28,4
2023-01-02 14:35:19.578 CET;28,5
2023-01-02 14:35:31.298 CET;28,6
2023-01-02 14:36:03.038 CET;28,7
2023-01-02 14:36:27.316 CET;28,8
2023-01-02 14:37:00.786 CET;28,9
2023-01-02 14:37:32.375 CET;29
2023-01-02 14:37:55.805 CET;29,1
2023-01-02 14:38:31.654 CET;29,2
2023-01-02 14:38:40.615 CET;29,3
2023-01-02 14:39:25.493 CET;29,4
2023-01-02 14:39:52.532 CET;29,5
2023-01-02 14:40:20.834 CET;29,6
2023-01-02 14:43:34.428 CET;29,9
2023-01-02 14:43:52.229 CET;30
2023-01-02 14:44:55.096 CET;30,1
2023-01-02 14:45:04.056 CET;30,2
2023-01-02 14:45:13.098 CET;30,1
2023-01-02 14:45:57.895 CET;30,2
2023-01-02 14:46:15.895 CET;30,3
2023-01-02 14:46:42.776 CET;30,4
2023-01-02 14:46:51.734 CET;30,3
2023-01-02 14:47:00.696 CET;30,4
2023-01-02 14:47:18.776 CET;30,5
2023-01-02 14:47:27.825 CET;30,4
2023-01-02 14:47:36.855 CET;30,5
2023-01-02 14:47:54.864 CET;30,6
2023-01-02 14:48:30.825 CET;30,7
2023-01-02 14:48:48.785 CET;30,8
2023-01-02 14:49:24.944 CET;30,9
2023-01-02 14:50:09.743 CET;31
2023-01-02 14:50:18.703 CET;31,1
2023-01-02 14:51:03.812 CET;31,2
2023-01-02 14:51:21.743 CET;31,3
2023-01-02 14:52:06.950 CET;31,4
2023-01-02 14:53:00.694 CET;31,5
2023-01-02 14:53:09.674 CET;31,4
2023-01-02 14:53:36.625 CET;31,3
2023-01-02 14:53:54.635 CET;31,2
2023-01-02 14:54:03.598 CET;31,1
2023-01-02 14:54:21.677 CET;31
2023-01-02 14:54:39.608 CET;30,9
2023-01-02 14:55:06.562 CET;30,8
2023-01-02 14:55:33.362 CET;30,7
2023-01-02 14:55:51.362 CET;30,6
2023-01-02 14:56:09.285 CET;30,5
2023-01-02 14:58:09.640 CET;30
2023-01-02 14:58:18.591 CET;29,9
2023-01-02 14:58:36.569 CET;30
2023-01-02 14:58:45.549 CET;29,8
2023-01-02 14:59:12.650 CET;29,7
2023-01-02 14:59:30.588 CET;29,6
2023-01-02 15:00:06.408 CET;29,5
2023-01-02 15:00:15.378 CET;29,6
2023-01-02 15:00:24.328 CET;29,5
2023-01-02 15:00:42.259 CET;29,4
2023-01-02 15:02:30.336 CET;29,3
2023-01-02 15:04:36.114 CET;29,2
2023-01-02 15:04:54.174 CET;29,3
2023-01-02 15:05:03.052 CET;29,2
2023-01-02 15:05:20.983 CET;29,1
2023-01-02 15:06:23.782 CET;29
2023-01-02 15:06:59.782 CET;28,9
2023-01-02 15:07:44.819 CET;28,8
2023-01-02 15:07:53.861 CET;28,9
2023-01-02 15:08:02.829 CET;28,8
2023-01-02 15:08:47.950 CET;28,7
2023-01-02 15:08:56.980 CET;28,8
2023-01-02 15:09:05.849 CET;28,7
2023-01-02 15:09:14.819 CET;28,6
2023-01-02 15:10:17.618 CET;28,5
2023-01-02 15:10:35.538 CET;28,4
2023-01-02 15:11:47.226 CET;28,5
2023-01-02 15:11:56.266 CET;28,6
2023-01-02 15:12:26.795 CET;28,8
2023-01-02 15:17:32.918 CET;29,4
2023-01-02 15:18:18.990 CET;29,5
2023-01-02 15:18:27.947 CET;29,4
2023-01-02 15:18:37.068 CET;29,5
2023-01-02 15:19:22.269 CET;29,6
2023-01-02 15:20:16.576 CET;29,7
2023-01-02 15:20:43.717 CET;29,8
2023-01-02 15:21:19.635 CET;29,9
2023-01-02 15:21:55.786 CET;30
2023-01-02 15:22:13.875 CET;30,1
2023-01-02 15:22:22.915 CET;30,2
2023-01-02 15:22:31.954 CET;30,1
2023-01-02 15:22:50.105 CET;30,2
2023-01-02 15:23:08.194 CET;30,3
2023-01-02 15:23:53.384 CET;30,4
2023-01-02 15:24:29.553 CET;30,5
2023-01-02 15:24:47.634 CET;30,6
2023-01-02 15:24:56.592 CET;30,7
2023-01-02 15:25:05.632 CET;30,6
2023-01-02 15:25:23.703 CET;30,7
2023-01-02 15:25:41.721 CET;30,8
2023-01-02 15:25:50.752 CET;30,9
2023-01-02 15:25:59.792 CET;30,8
2023-01-02 15:26:35.950 CET;30,9
2023-01-02 15:26:53.960 CET;31
2023-01-02 15:27:03.160 CET;30,9
2023-01-02 15:27:12.109 CET;31
2023-01-02 15:27:39.230 CET;31,1
2023-01-02 15:28:15.640 CET;31,2
2023-01-02 15:28:51.788 CET;31,3
2023-01-02 15:29:36.907 CET;31,4
2023-01-02 15:30:22.036 CET;31,5
2023-01-02 15:31:25.244 CET;31,4
2023-01-02 15:31:43.315 CET;31,3
2023-01-02 15:31:52.365 CET;31,2
2023-01-02 15:33:18.104 CET;30,9
2023-01-02 15:33:27.323 CET;30,8
2023-01-02 15:33:36.614 CET;30,7
2023-01-02 15:33:54.753 CET;30,6
2023-01-02 15:34:12.842 CET;30,5
2023-01-02 15:34:21.894 CET;30,4
2023-01-02 15:34:40.042 CET;30,3
2023-01-02 15:35:07.163 CET;30,2
2023-01-02 15:35:16.282 CET;30,1
2023-01-02 15:35:43.641 CET;30
2023-01-02 15:36:10.762 CET;29,9
2023-01-02 15:36:46.921 CET;29,8
2023-01-02 15:37:14.119 CET;29,9
2023-01-02 15:37:23.240 CET;29,8
2023-01-02 15:37:32.270 CET;29,7
2023-01-02 15:37:59.400 CET;29,6
2023-01-02 15:39:29.796 CET;29,5
2023-01-02 15:40:05.798 CET;29,4
2023-01-02 15:41:44.605 CET;29,3
2023-01-02 15:42:48.035 CET;29,4
2023-01-02 15:42:57.082 CET;29,3
2023-01-02 15:43:06.042 CET;29,2
2023-01-02 15:48:07.479 CET;28,2
2023-01-02 15:48:25.427 CET;28,1
2023-01-02 15:48:34.378 CET;28
2023-01-02 15:48:43.348 CET;27,9
2023-01-02 15:49:01.417 CET;27,8
2023-01-02 15:49:28.217 CET;27,7
2023-01-02 15:50:04.125 CET;27,8
2023-01-02 15:50:22.295 CET;27,9
2023-01-02 15:50:40.296 CET;28
2023-01-02 15:50:49.246 CET;28,1
2023-01-02 15:51:16.295 CET;28,2
2023-01-02 15:51:25.244 CET;28,3
2023-01-02 15:51:52.214 CET;28,4
2023-01-02 15:52:10.134 CET;28,5
2023-01-02 15:52:19.184 CET;28,6
2023-01-02 15:52:46.063 CET;28,7
2023-01-02 15:52:55.013 CET;28,8
2023-01-02 15:53:22.052 CET;28,9
2023-01-02 15:53:40.052 CET;29
2023-01-02 15:53:58.062 CET;29,1
2023-01-02 15:54:15.971 CET;29,2
2023-01-02 15:54:33.891 CET;29,4
2023-01-02 15:54:42.851 CET;29,3
2023-01-02 15:55:00.780 CET;29,4
2023-01-02 15:55:27.579 CET;29,5
2023-01-02 15:55:45.589 CET;29,6
2023-01-02 15:56:21.651 CET;29,8
2023-01-02 15:56:30.680 CET;29,7
2023-01-02 15:56:39.650 CET;29,8
2023-01-02 15:57:24.438 CET;29,9
2023-01-02 15:58:18.308 CET;30,1
2023-01-02 15:58:27.338 CET;30
2023-01-02 15:58:45.257 CET;30,1
2023-01-02 15:59:03.177 CET;30,2
2023-01-02 15:59:12.217 CET;30,1
2023-01-02 15:59:39.096 CET;30,2
2023-01-02 15:59:48.147 CET;30,3
2023-01-02 15:59:57.177 CET;30,2
2023-01-02 16:00:15.096 CET;30,3
2023-01-02 16:00:33.026 CET;30,4
2023-01-02 16:00:41.964 CET;30,3
2023-01-02 16:01:08.766 CET;30,4
2023-01-02 16:01:26.625 CET;30,5
2023-01-02 16:01:35.743 CET;30,4
2023-01-02 16:01:44.703 CET;30,5
2023-01-02 16:02:11.654 CET;30,6
2023-01-02 16:02:47.653 CET;30,7
2023-01-02 16:03:14.532 CET;30,8
2023-01-02 16:03:59.661 CET;30,9
2023-01-02 16:05:00.151 CET;31,1
2023-01-02 16:05:45.660 CET;31,2
2023-01-02 16:06:21.819 CET;31,3
2023-01-02 16:07:07.028 CET;31,4
2023-01-02 16:08:27.657 CET;31,5
2023-01-02 16:08:51.746 CET;31,3
2023-01-02 16:12:31.943 CET;30
2023-01-02 16:12:41.282 CET;29,9
2023-01-02 16:12:59.191 CET;29,8
2023-01-02 16:13:19.461 CET;29,7
