time;PressForceValueRR
2023-01-02 13:15:03.233 CET;20,5
2023-01-02 13:15:21.224 CET;20,2
2023-01-02 13:15:30.334 CET;21
2023-01-02 13:15:57.453 CET;20,5
2023-01-02 13:16:15.453 CET;20,8
2023-01-02 13:16:51.391 CET;20,2
2023-01-02 13:17:00.493 CET;21
2023-01-02 13:17:18.502 CET;20,8
2023-01-02 13:17:27.540 CET;20,5
2023-01-02 13:17:36.341 CET;21
2023-01-02 13:17:54.342 CET;20,5
2023-01-02 13:18:03.302 CET;21
2023-01-02 13:18:12.342 CET;20,5
2023-01-02 13:18:21.529 CET;20
2023-01-02 13:18:30.500 CET;20,5
2023-01-02 13:18:39.460 CET;21
2023-01-02 13:18:48.430 CET;20,8
2023-01-02 13:18:57.549 CET;20,5
2023-01-02 13:19:06.510 CET;20,2
2023-01-02 13:19:15.460 CET;21
2023-01-02 13:19:42.339 CET;20,8
2023-01-02 13:20:00.348 CET;20,5
2023-01-02 13:20:09.299 CET;20,8
2023-01-02 13:20:18.257 CET;21
2023-01-02 13:20:27.378 CET;20,5
2023-01-02 13:20:36.187 CET;20,8
2023-01-02 13:20:54.336 CET;20,2
2023-01-02 13:21:03.066 CET;20,8
2023-01-02 13:21:12.026 CET;20,5
2023-01-02 13:21:30.107 CET;20,2
2023-01-02 13:21:39.227 CET;20,5
2023-01-02 13:21:57.145 CET;20,2
2023-01-02 13:22:06.016 CET;20,5
2023-01-02 13:22:15.055 CET;21
2023-01-02 13:22:24.026 CET;20,8
2023-01-02 13:22:32.907 CET;21
2023-01-02 13:24:59.213 CET;18,9
2023-01-02 13:25:08.372 CET;20,5
2023-01-02 13:25:17.313 CET;20,2
2023-01-02 13:25:44.193 CET;20,5
2023-01-02 13:25:53.302 CET;20,2
2023-01-02 13:26:02.262 CET;19,4
2023-01-02 13:26:11.221 CET;20,2
2023-01-02 13:26:29.221 CET;20
2023-01-02 13:26:47.230 CET;20,8
2023-01-02 13:26:56.420 CET;20,2
2023-01-02 13:27:05.380 CET;19,7
2023-01-02 13:27:14.349 CET;20
2023-01-02 13:27:23.230 CET;20,2
2023-01-02 13:27:41.390 CET;20
2023-01-02 13:27:50.269 CET;20,5
2023-01-02 13:28:08.348 CET;20,2
2023-01-02 13:31:06.846 CET;20,5
2023-01-02 13:31:46.895 CET;20,2
2023-01-02 13:33:40.755 CET;20
2023-01-02 13:33:58.434 CET;19,7
2023-01-02 13:34:07.543 CET;20
2023-01-02 13:34:43.003 CET;20,2
2023-01-02 13:35:01.072 CET;20
2023-01-02 13:35:10.032 CET;20,8
2023-01-02 13:35:19.062 CET;20,2
2023-01-02 13:35:27.874 CET;20,8
2023-01-02 13:35:45.872 CET;20,2
2023-01-02 13:35:54.842 CET;20,5
2023-01-02 13:36:03.872 CET;20,8
2023-01-02 13:36:12.923 CET;20,5
2023-01-02 13:36:30.831 CET;20,2
2023-01-02 13:36:48.911 CET;20
2023-01-02 13:36:57.881 CET;20,2
2023-01-02 13:37:15.561 CET;20
2023-01-02 13:37:24.589 CET;20,5
2023-01-02 13:37:33.710 CET;20,2
2023-01-02 13:38:11.240 CET;20,5
2023-01-02 13:38:38.019 CET;20,2
2023-01-02 13:39:04.999 CET;20
2023-01-02 13:39:31.798 CET;19,7
2023-01-02 13:39:40.828 CET;20,2
2023-01-02 13:39:49.719 CET;19,7
2023-01-02 13:39:58.687 CET;20
2023-01-02 13:40:07.638 CET;20,2
2023-01-02 13:40:16.677 CET;20
2023-01-02 13:40:25.556 CET;20,2
2023-01-02 13:40:52.516 CET;20,8
2023-01-02 13:41:01.556 CET;20,5
2023-01-02 13:41:10.426 CET;21
2023-01-02 13:41:19.486 CET;21,3
2023-01-02 13:41:28.506 CET;20,8
2023-01-02 13:41:37.555 CET;20,2
2023-01-02 13:41:46.746 CET;20,5
2023-01-02 13:41:55.714 CET;20,2
2023-01-02 13:42:04.755 CET;20
2023-01-02 13:42:13.716 CET;20,5
2023-01-02 13:42:31.716 CET;20
2023-01-02 13:42:40.915 CET;20,2
2023-01-02 13:42:49.796 CET;20,5
2023-01-02 13:42:59.005 CET;20,2
2023-01-02 13:43:07.714 CET;20,5
2023-01-02 13:43:16.904 CET;20,2
2023-01-02 13:43:34.832 CET;21
2023-01-02 13:43:52.923 CET;20,8
2023-01-02 13:44:02.043 CET;20,5
2023-01-02 13:44:10.993 CET;21
2023-01-02 13:44:20.032 CET;20,5
2023-01-02 13:44:29.161 CET;21
2023-01-02 13:44:38.112 CET;20,8
2023-01-02 13:44:47.161 CET;20,2
2023-01-02 13:44:56.201 CET;20,5
2023-01-02 13:45:23.141 CET;21,3
2023-01-02 13:45:32.201 CET;20,5
2023-01-02 13:45:41.232 CET;20,8
2023-01-02 13:45:50.441 CET;20
2023-01-02 13:45:59.311 CET;21,3
2023-01-02 13:46:08.361 CET;20,5
2023-01-02 13:46:17.470 CET;21
2023-01-02 13:46:26.430 CET;20,8
2023-01-02 13:46:35.480 CET;20,5
2023-01-02 13:46:44.440 CET;21
2023-01-02 13:46:53.559 CET;20,8
2023-01-02 13:47:02.598 CET;21
2023-01-02 13:47:11.168 CET;20,8
2023-01-02 13:47:20.108 CET;20,5
2023-01-02 13:47:37.970 CET;20,2
2023-01-02 13:47:47.000 CET;20,8
2023-01-02 13:47:55.789 CET;20,5
2023-01-02 13:48:04.838 CET;20,2
2023-01-02 13:48:22.759 CET;20,5
2023-01-02 13:48:31.789 CET;20,2
2023-01-02 13:48:40.918 CET;20,5
2023-01-02 13:49:07.798 CET;20,8
2023-01-02 13:49:25.727 CET;20,5
2023-01-02 13:49:34.677 CET;21,3
2023-01-02 13:49:43.637 CET;20,8
2023-01-02 13:50:01.716 CET;21
2023-01-02 13:50:10.596 CET;20,5
2023-01-02 13:50:28.605 CET;20,2
2023-01-02 13:50:37.795 CET;20,5
2023-01-02 13:50:55.875 CET;20,8
2023-01-02 13:51:59.023 CET;20,5
2023-01-02 13:52:08.594 CET;20,2
2023-01-02 13:52:44.374 CET;20,5
2023-01-02 13:52:53.563 CET;20,2
2023-01-02 13:53:02.203 CET;20,5
2023-01-02 13:53:20.372 CET;20,8
2023-01-02 13:53:29.082 CET;20,5
2023-01-02 13:53:38.193 CET;20,8
2023-01-02 13:53:47.233 CET;20,5
2023-01-02 13:54:05.082 CET;20,2
2023-01-02 13:54:23.072 CET;20,8
2023-01-02 13:54:41.092 CET;20,2
2023-01-02 13:54:49.960 CET;20,5
2023-01-02 13:54:58.921 CET;20,2
2023-01-02 13:55:16.849 CET;20,8
2023-01-02 13:55:25.801 CET;20,5
2023-01-02 13:55:43.730 CET;20,8
2023-01-02 13:56:10.680 CET;20,5
2023-01-02 13:56:19.880 CET;20,8
2023-01-02 13:56:28.849 CET;20,5
2023-01-02 13:56:37.799 CET;20,2
2023-01-02 13:56:47.009 CET;20,5
2023-01-02 13:56:55.969 CET;20,8
2023-01-02 13:57:04.999 CET;20,5
2023-01-02 13:57:23.157 CET;20,8
2023-01-02 13:57:41.318 CET;20,2
2023-01-02 13:57:50.288 CET;20,8
2023-01-02 13:58:07.967 CET;20,5
2023-01-02 13:58:16.778 CET;19,7
2023-01-02 13:58:34.927 CET;20,2
2023-01-02 13:58:52.917 CET;19,2
2023-01-02 13:59:02.036 CET;21
2023-01-02 13:59:11.016 CET;20,5
2023-01-02 13:59:20.207 CET;20,8
2023-01-02 13:59:29.236 CET;20,2
2023-01-02 13:59:47.075 CET;20,5
2023-01-02 13:59:56.045 CET;20
2023-01-02 14:00:14.216 CET;20,5
2023-01-02 14:00:23.005 CET;20,8
2023-01-02 14:00:41.255 CET;20,5
2023-01-02 14:01:17.244 CET;20,8
2023-01-02 14:01:35.173 CET;21,6
2023-01-02 14:01:44.203 CET;21
2023-01-02 14:01:53.322 CET;20,8
2023-01-02 14:02:02.282 CET;20,2
2023-01-02 14:02:11.332 CET;20,5
2023-01-02 14:02:20.282 CET;20,2
2023-01-02 14:02:29.163 CET;20,8
2023-01-02 14:02:38.042 CET;21
2023-01-02 14:02:47.173 CET;20,5
2023-01-02 14:03:05.002 CET;21,3
2023-01-02 14:03:14.052 CET;20,2
2023-01-02 14:03:23.003 CET;21,3
2023-01-02 14:03:32.213 CET;20,5
2023-01-02 14:04:07.802 CET;21
2023-01-02 14:04:16.772 CET;20,8
2023-01-02 14:04:25.732 CET;20,5
2023-01-02 14:04:52.621 CET;21
2023-01-02 14:05:01.569 CET;20,5
2023-01-02 14:06:55.417 CET;20,2
2023-01-02 14:07:04.378 CET;20
2023-01-02 14:07:13.257 CET;20,5
2023-01-02 14:07:31.249 CET;20
2023-01-02 14:07:40.049 CET;20,2
2023-01-02 14:07:49.088 CET;20,5
2023-01-02 14:07:57.967 CET;20,8
2023-01-02 14:08:07.017 CET;20,2
2023-01-02 14:08:16.046 CET;21
2023-01-02 14:08:25.098 CET;20,5
2023-01-02 14:08:33.887 CET;20,8
2023-01-02 14:08:42.937 CET;21
2023-01-02 14:08:51.898 CET;20,8
2023-01-02 14:09:00.926 CET;20,5
2023-01-02 14:09:09.897 CET;21
2023-01-02 14:09:18.706 CET;20,5
2023-01-02 14:09:27.665 CET;20,8
2023-01-02 14:09:36.526 CET;20,2
2023-01-02 14:09:45.496 CET;20,5
2023-01-02 14:09:54.375 CET;20,2
2023-01-02 14:10:03.496 CET;20,5
2023-01-02 14:10:12.444 CET;20,8
2023-01-02 14:10:21.496 CET;20,2
2023-01-02 14:10:30.523 CET;20,8
2023-01-02 14:10:48.694 CET;20,5
2023-01-02 14:10:57.644 CET;20,8
2023-01-02 14:11:15.654 CET;21
2023-01-02 14:11:24.533 CET;20,5
2023-01-02 14:11:33.573 CET;20,2
2023-01-02 14:11:42.694 CET;20,8
2023-01-02 14:11:51.723 CET;20,5
2023-01-02 14:12:09.802 CET;21
2023-01-02 14:12:18.852 CET;20,5
2023-01-02 14:12:27.892 CET;20,2
2023-01-02 14:12:45.812 CET;21,3
2023-01-02 14:12:54.852 CET;20,5
2023-01-02 14:13:04.052 CET;20,2
2023-01-02 14:13:12.933 CET;20,8
2023-01-02 14:13:30.940 CET;21
2023-01-02 14:13:40.061 CET;20,8
2023-01-02 14:13:57.980 CET;21
2023-01-02 14:14:07.019 CET;20,8
2023-01-02 14:14:15.970 CET;21
2023-01-02 14:14:25.180 CET;20,8
2023-01-02 14:14:34.130 CET;21,3
2023-01-02 14:14:43.329 CET;20,8
2023-01-02 14:14:52.210 CET;20,5
