time;SlideSpeedUp
2023-01-02 23:02:48.075 CET;426,5
2023-01-02 23:02:57.375 CET;457,3
2023-01-02 23:03:06.585 CET;428,4
2023-01-02 23:03:15.763 CET;425,8
2023-01-02 23:03:24.963 CET;483,9
2023-01-02 23:03:34.243 CET;455,5
2023-01-02 23:03:43.443 CET;428,8
2023-01-02 23:03:52.562 CET;455,7
2023-01-02 23:04:01.773 CET;455,2
2023-01-02 23:04:11.042 CET;427,4
2023-01-02 23:04:20.243 CET;470,1
2023-01-02 23:04:29.362 CET;467,3
2023-01-02 23:04:38.653 CET;441,7
2023-01-02 23:04:47.772 CET;482,4
2023-01-02 23:04:56.982 CET;454,2
2023-01-02 23:05:06.253 CET;454,6
2023-01-02 23:05:15.450 CET;441,1
2023-01-02 23:05:24.641 CET;454
2023-01-02 23:05:33.930 CET;426,3
2023-01-02 23:05:43.131 CET;456
2023-01-02 23:05:52.410 CET;442,6
2023-01-02 23:06:01.609 CET;456
2023-01-02 23:06:10.799 CET;457,6
2023-01-02 23:06:20.160 CET;469,4
2023-01-02 23:06:29.369 CET;442
2023-01-02 23:06:38.640 CET;429,4
2023-01-02 23:06:47.759 CET;469,8
2023-01-02 23:06:56.970 CET;441,9
2023-01-02 23:07:06.180 CET;426,3
2023-01-02 23:07:15.378 CET;456
2023-01-02 23:07:24.648 CET;426,7
