time;Cylinder4MaxParallelismInCycle
2023-01-02 13:48:31.539 CET;5,8
2023-01-02 13:49:07.457 CET;5,7
2023-01-02 13:49:16.417 CET;6
2023-01-02 13:49:25.397 CET;5,8
2023-01-02 13:49:34.388 CET;5,7
2023-01-02 13:49:43.377 CET;5,8
2023-01-02 13:49:52.336 CET;5,7
2023-01-02 13:50:01.305 CET;5,8
2023-01-02 13:50:19.377 CET;5,9
2023-01-02 13:51:04.585 CET;5,8
2023-01-02 13:51:13.545 CET;5,9
2023-01-02 13:52:14.253 CET;5,7
2023-01-02 13:52:23.832 CET;5,6
2023-01-02 13:52:32.842 CET;5,7
2023-01-02 13:52:42.033 CET;5,8
2023-01-02 13:52:59.944 CET;5,9
2023-01-02 13:53:18.114 CET;5,7
2023-01-02 13:53:27.233 CET;5,8
2023-01-02 13:53:36.273 CET;5,7
2023-01-02 13:54:03.312 CET;5,8
2023-01-02 13:54:21.391 CET;6
2023-01-02 13:54:48.512 CET;5,9
2023-01-02 13:55:06.510 CET;5,8
2023-01-02 13:55:24.670 CET;5,9
2023-01-02 13:55:33.710 CET;6
2023-01-02 13:55:42.750 CET;5,9
2023-01-02 13:56:00.829 CET;6
2023-01-02 13:56:09.869 CET;6,1
2023-01-02 13:56:27.950 CET;6
2023-01-02 13:56:37.069 CET;5,5
2023-01-02 13:56:46.099 CET;5,7
2023-01-02 13:56:55.059 CET;5,6
2023-01-02 13:57:13.229 CET;5,9
2023-01-02 13:57:22.348 CET;5,6
2023-01-02 13:57:31.298 CET;5,9
2023-01-02 13:57:49.467 CET;5,8
2023-01-02 13:57:58.586 CET;5,9
2023-01-02 13:58:07.628 CET;5,8
2023-01-02 13:58:16.588 CET;5,7
2023-01-02 13:58:25.635 CET;5,8
2023-01-02 13:59:10.996 CET;5,9
2023-01-02 13:59:19.946 CET;6
2023-01-02 13:59:28.825 CET;5,9
2023-01-02 13:59:46.915 CET;6
2023-01-02 13:59:55.875 CET;5,9
2023-01-02 14:00:04.825 CET;6
2023-01-02 14:00:13.875 CET;5,8
2023-01-02 14:00:31.953 CET;5,9
2023-01-02 14:00:40.983 CET;5,8
2023-01-02 14:00:50.035 CET;5,6
2023-01-02 14:00:58.993 CET;5,8
2023-01-02 14:01:34.913 CET;5,7
2023-01-02 14:01:43.953 CET;5,6
2023-01-02 14:01:52.913 CET;5,7
2023-01-02 14:02:01.862 CET;5,8
2023-01-02 14:02:10.832 CET;5,7
2023-01-02 14:02:19.782 CET;5,8
2023-01-02 14:02:46.753 CET;5,9
2023-01-02 14:03:04.752 CET;5,8
2023-01-02 14:03:13.711 CET;5,7
2023-01-02 14:03:22.592 CET;5,8
2023-01-02 14:03:31.542 CET;5,9
2023-01-02 14:04:16.421 CET;6
2023-01-02 14:04:25.401 CET;6,1
2023-01-02 14:04:34.351 CET;5,9
2023-01-02 14:04:43.312 CET;6,1
2023-01-02 14:04:52.200 CET;5,9
2023-01-02 14:05:10.190 CET;5,6
2023-01-02 14:05:28.190 CET;5,7
2023-01-02 14:06:43.259 CET;5,8
2023-01-02 14:07:10.987 CET;5,9
2023-01-02 14:07:20.038 CET;5,8
2023-01-02 14:07:38.038 CET;5,7
2023-01-02 14:07:47.078 CET;5,8
2023-01-02 14:07:56.036 CET;5,9
2023-01-02 14:08:14.197 CET;6,1
2023-01-02 14:08:23.157 CET;5,9
2023-01-02 14:08:32.358 CET;6
2023-01-02 14:08:41.397 CET;6,1
2023-01-02 14:09:08.357 CET;6
2023-01-02 14:09:26.437 CET;6,1
2023-01-02 14:09:35.387 CET;5,6
2023-01-02 14:09:44.427 CET;5,8
2023-01-02 14:09:53.474 CET;5,7
2023-01-02 14:10:02.515 CET;5,6
2023-01-02 14:10:11.474 CET;5,9
2023-01-02 14:10:20.434 CET;5,8
2023-01-02 14:10:56.515 CET;5,7
2023-01-02 14:11:05.573 CET;5,8
2023-01-02 14:11:50.844 CET;6
2023-01-02 14:12:08.832 CET;5,9
2023-01-02 14:12:26.921 CET;5,8
2023-01-02 14:12:35.871 CET;5,7
2023-01-02 14:12:44.913 CET;5,8
2023-01-02 14:13:02.993 CET;5,9
2023-01-02 14:13:12.032 CET;6
2023-01-02 14:13:21.072 CET;5,9
2023-01-02 14:13:29.961 CET;6
2023-01-02 14:13:48.030 CET;5,7
2023-01-02 14:13:57.089 CET;5,6
2023-01-02 14:14:06.039 CET;5,7
2023-01-02 14:14:24.119 CET;5,6
2023-01-02 14:14:51.309 CET;5,7
2023-01-02 14:15:00.359 CET;5,8
2023-01-02 14:15:36.519 CET;5,7
2023-01-02 14:15:45.559 CET;5,8
2023-01-02 14:16:03.719 CET;5,9
2023-01-02 14:16:12.598 CET;5,8
2023-01-02 14:18:23.835 CET;5,7
2023-01-02 14:18:47.744 CET;5,8
2023-01-02 14:19:14.926 CET;5,9
2023-01-02 14:19:23.795 CET;5,7
2023-01-02 14:19:32.684 CET;5,8
2023-01-02 14:19:59.724 CET;5,9
2023-01-02 14:20:08.765 CET;5,7
2023-01-02 14:20:17.724 CET;5,8
2023-01-02 14:20:26.763 CET;5,9
2023-01-02 14:20:35.802 CET;6
2023-01-02 14:20:44.852 CET;5,9
2023-01-02 14:21:20.773 CET;6
2023-01-02 14:21:29.802 CET;5,9
2023-01-02 14:21:38.851 CET;6
2023-01-02 14:21:48.901 CET;5,9
2023-01-02 14:21:57.720 CET;6
2023-01-02 14:22:19.451 CET;5,7
2023-01-02 14:22:28.371 CET;5,8
2023-01-02 14:22:43.211 CET;5,7
2023-01-02 14:22:52.671 CET;5,8
2023-01-02 14:23:06.730 CET;5,7
2023-01-02 14:23:46.581 CET;5,8
2023-01-02 14:24:10.398 CET;5,7
2023-01-02 14:24:42.078 CET;5,8
2023-01-02 14:25:06.118 CET;6
2023-01-02 14:26:20.257 CET;6,1
2023-01-02 14:26:38.526 CET;5,6
2023-01-02 14:26:47.575 CET;5,7
2023-01-02 14:26:56.536 CET;5,8
2023-01-02 14:27:05.486 CET;5,5
2023-01-02 14:27:14.536 CET;5,7
2023-01-02 14:27:23.486 CET;5,8
2023-01-02 14:27:32.456 CET;5,7
2023-01-02 14:27:41.496 CET;5,8
2023-01-02 14:27:50.496 CET;5,9
2023-01-02 14:27:59.404 CET;5,7
2023-01-02 14:28:08.375 CET;5,9
2023-01-02 14:28:17.325 CET;6
2023-01-02 14:28:26.296 CET;5,7
2023-01-02 14:28:35.335 CET;5,8
2023-01-02 14:28:44.365 CET;5,9
2023-01-02 14:28:53.256 CET;5,8
2023-01-02 14:29:20.125 CET;6
2023-01-02 14:29:29.255 CET;5,9
2023-01-02 14:29:38.214 CET;6
2023-01-02 14:30:05.085 CET;5,8
2023-01-02 14:30:14.045 CET;5,9
2023-01-02 14:30:23.015 CET;6
2023-01-02 14:30:41.243 CET;6,1
2023-01-02 14:31:42.171 CET;5,8
2023-01-02 14:31:51.503 CET;5,7
2023-01-02 14:32:18.691 CET;5,8
2023-01-02 14:32:27.811 CET;5,7
2023-01-02 14:33:03.980 CET;5,8
2023-01-02 14:33:13.010 CET;5,9
2023-01-02 14:33:21.980 CET;6
2023-01-02 14:33:40.049 CET;6,1
2023-01-02 14:33:49.089 CET;6
2023-01-02 14:33:58.049 CET;5,9
2023-01-02 14:34:25.168 CET;6
2023-01-02 14:34:34.138 CET;5,9
2023-01-02 14:34:52.368 CET;6
2023-01-02 14:35:01.569 CET;5,9
2023-01-02 14:35:10.539 CET;6
2023-01-02 14:35:19.578 CET;5,8
2023-01-02 14:35:31.298 CET;5,7
2023-01-02 14:35:47.398 CET;5,8
2023-01-02 14:36:11.976 CET;5,7
2023-01-02 14:36:27.316 CET;5,8
2023-01-02 14:36:51.806 CET;5,7
2023-01-02 14:37:00.786 CET;5,8
2023-01-02 14:37:23.496 CET;6
2023-01-02 14:37:32.375 CET;5,9
2023-01-02 14:37:46.266 CET;6
2023-01-02 14:37:55.805 CET;5,8
2023-01-02 14:38:04.704 CET;5,9
2023-01-02 14:38:49.584 CET;6,1
2023-01-02 14:39:07.575 CET;6
2023-01-02 14:39:16.535 CET;6,1
2023-01-02 14:39:25.493 CET;5,7
2023-01-02 14:39:34.463 CET;5,6
2023-01-02 14:39:43.572 CET;5,7
2023-01-02 14:39:52.532 CET;5,6
2023-01-02 14:40:05.063 CET;5,7
2023-01-02 14:43:34.428 CET;5,9
2023-01-02 14:43:43.338 CET;5,7
2023-01-02 14:44:01.178 CET;5,8
2023-01-02 14:44:37.187 CET;5,7
2023-01-02 14:44:46.148 CET;5,8
2023-01-02 14:44:55.096 CET;5,7
2023-01-02 14:45:04.056 CET;5,8
2023-01-02 14:45:21.977 CET;5,9
2023-01-02 14:45:30.855 CET;6
2023-01-02 14:45:48.947 CET;5,9
2023-01-02 14:45:57.895 CET;6
2023-01-02 14:46:06.956 CET;5,9
2023-01-02 14:46:24.855 CET;5,8
2023-01-02 14:46:33.815 CET;5,9
2023-01-02 14:46:51.734 CET;6
2023-01-02 14:47:00.696 CET;5,9
2023-01-02 14:47:09.665 CET;6
2023-01-02 14:47:18.776 CET;6,2
2023-01-02 14:47:27.825 CET;6,1
2023-01-02 14:47:36.855 CET;6
2023-01-02 14:47:45.825 CET;6,1
