time;TotalPressForceValue
2023-01-02 13:52:08.594 CET;19,9
2023-01-02 13:52:17.644 CET;20
2023-01-02 13:53:20.372 CET;20,1
2023-01-02 13:53:29.082 CET;20
2023-01-02 13:53:38.193 CET;20,1
2023-01-02 13:53:56.201 CET;20
2023-01-02 13:54:05.082 CET;20,2
2023-01-02 13:54:14.022 CET;19,9
2023-01-02 13:54:23.072 CET;20
2023-01-02 13:54:31.811 CET;20,1
2023-01-02 13:54:41.092 CET;20
2023-01-02 13:54:49.960 CET;20,2
2023-01-02 13:54:58.921 CET;20,1
2023-01-02 13:55:07.891 CET;20
2023-01-02 13:55:16.849 CET;20,1
2023-01-02 13:55:25.801 CET;20
2023-01-02 13:55:43.730 CET;20,1
2023-01-02 13:55:52.849 CET;20
2023-01-02 13:56:28.849 CET;19,9
2023-01-02 13:56:37.799 CET;19,8
2023-01-02 13:56:55.969 CET;20,1
2023-01-02 13:57:04.999 CET;19,9
2023-01-02 13:57:14.197 CET;20
2023-01-02 13:57:32.207 CET;20,2
2023-01-02 13:57:41.318 CET;20
2023-01-02 13:57:59.237 CET;20,1
2023-01-02 13:58:07.967 CET;19,8
2023-01-02 13:58:16.778 CET;19,9
2023-01-02 13:58:25.885 CET;19,7
2023-01-02 13:58:34.927 CET;20,2
2023-01-02 13:58:44.046 CET;20,1
2023-01-02 13:58:52.917 CET;19,4
2023-01-02 13:59:02.036 CET;20
2023-01-02 13:59:11.016 CET;19,9
2023-01-02 13:59:20.207 CET;20,1
2023-01-02 13:59:29.236 CET;20,2
2023-01-02 13:59:38.125 CET;20
2023-01-02 13:59:56.045 CET;19,9
2023-01-02 14:00:05.155 CET;20
2023-01-02 14:00:14.216 CET;19,8
2023-01-02 14:00:23.005 CET;20,2
2023-01-02 14:00:32.194 CET;20,4
2023-01-02 14:00:41.255 CET;19,8
2023-01-02 14:00:50.295 CET;20
2023-01-02 14:01:17.244 CET;20,2
2023-01-02 14:01:26.203 CET;20
2023-01-02 14:01:35.173 CET;20,3
2023-01-02 14:01:44.203 CET;20,2
2023-01-02 14:02:02.282 CET;19,9
2023-01-02 14:02:20.282 CET;20,1
2023-01-02 14:02:29.163 CET;20,2
2023-01-02 14:02:38.042 CET;20,1
2023-01-02 14:02:47.173 CET;20,2
2023-01-02 14:02:56.122 CET;20
2023-01-02 14:03:05.002 CET;20,4
2023-01-02 14:03:14.052 CET;20
2023-01-02 14:03:23.003 CET;20,3
2023-01-02 14:03:32.213 CET;20
2023-01-02 14:03:49.812 CET;19,9
2023-01-02 14:04:07.802 CET;20,2
2023-01-02 14:04:16.772 CET;20
2023-01-02 14:04:43.891 CET;20,1
2023-01-02 14:05:01.569 CET;19,9
2023-01-02 14:05:10.529 CET;20
