time;StrokeCounter
2023-02-22 12:58:40.295 CET;26306103
2023-02-22 12:58:54.404 CET;26306104
2023-02-22 12:59:08.265 CET;26306105
2023-02-22 12:59:22.474 CET;26306106
2023-02-22 12:59:36.303 CET;26306107
2023-02-22 12:59:50.463 CET;26306108
2023-02-22 13:00:04.424 CET;26306109
2023-02-22 13:00:18.582 CET;26306110
2023-02-22 13:00:47.342 CET;26306111
2023-02-22 13:01:01.492 CET;26306112
2023-02-22 13:01:15.542 CET;26306113
2023-02-22 13:01:59.762 CET;26306114
2023-02-22 13:02:13.861 CET;26306115
2023-02-22 13:06:43.365 CET;26306116
2023-02-22 13:06:56.234 CET;26306117
2023-02-22 13:08:08.604 CET;26306118
2023-02-22 13:08:43.302 CET;26306119
2023-02-22 13:08:57.282 CET;26306120
2023-02-22 13:09:11.523 CET;26306121
2023-02-22 13:09:25.513 CET;26306122
2023-02-22 13:09:39.542 CET;26306123
2023-02-22 13:09:53.532 CET;26306124
2023-02-22 13:10:07.512 CET;26306125
2023-02-22 13:10:21.581 CET;26306126
2023-02-22 13:10:35.671 CET;26306127
2023-02-22 13:10:49.861 CET;26306128
2023-02-22 13:11:03.801 CET;26306129
2023-02-22 13:11:17.609 CET;26306130
2023-02-22 13:11:31.841 CET;26306131
2023-02-22 13:11:45.839 CET;26306132
2023-02-22 13:12:00.160 CET;26306133
2023-02-22 13:12:44.078 CET;26306134
2023-02-22 13:12:58.309 CET;26306135
2023-02-22 13:13:12.319 CET;26306136
2023-02-22 13:13:26.438 CET;26306137
2023-02-22 13:13:40.407 CET;26306138
2023-02-22 13:13:54.388 CET;26306139
2023-02-22 13:14:08.398 CET;26306140
2023-02-22 13:14:22.489 CET;26306141
2023-02-22 13:14:36.598 CET;26306142
2023-02-22 13:14:50.648 CET;26306143
2023-02-22 13:15:04.556 CET;26306144
2023-02-22 13:15:18.628 CET;26306145
2023-02-22 13:15:32.818 CET;26306146
2023-02-22 13:15:46.996 CET;26306147
2023-02-22 13:16:00.967 CET;26306148
2023-02-22 13:16:14.957 CET;26306149
2023-02-22 13:16:28.786 CET;26306150
2023-02-22 13:16:43.056 CET;26306151
2023-02-22 13:16:57.006 CET;26306152
2023-02-22 13:17:10.964 CET;26306153
2023-02-22 13:17:25.045 CET;26306154
2023-02-22 13:17:39.206 CET;26306155
2023-02-22 13:17:53.305 CET;26306156
2023-02-22 13:18:46.973 CET;26306157
2023-02-22 13:19:00.953 CET;26306158
2023-02-22 13:19:14.963 CET;26306159
2023-02-22 13:19:29.062 CET;26306160
2023-02-22 13:19:43.253 CET;26306161
2023-02-22 13:19:56.982 CET;26306162
2023-02-22 13:20:11.203 CET;26306163
2023-02-22 13:20:25.191 CET;26306164
2023-02-22 13:20:39.201 CET;26306165
2023-02-22 13:20:53.312 CET;26306166
2023-02-22 13:21:07.361 CET;26306167
2023-02-22 13:21:21.351 CET;26306168
2023-02-22 13:21:35.519 CET;26306169
2023-02-22 13:21:49.549 CET;26306170
2023-02-22 13:22:39.079 CET;26306171
2023-02-22 13:22:53.128 CET;26306172
2023-02-22 13:23:06.868 CET;26306173
2023-02-22 13:23:21.038 CET;26306174
2023-02-22 13:23:35.068 CET;26306175
2023-02-22 13:23:49.088 CET;26306176
2023-02-22 13:24:03.298 CET;26306177
2023-02-22 13:24:17.117 CET;26306178
2023-02-22 13:27:42.572 CET;26306179
2023-02-22 13:27:56.592 CET;26306180
2023-02-22 13:28:10.423 CET;26306181
2023-02-22 13:28:24.642 CET;26306182
2023-02-22 13:28:38.552 CET;26306183
2023-02-22 13:28:52.661 CET;26306184
2023-02-22 13:29:06.861 CET;26306185
2023-02-22 13:29:20.891 CET;26306186
2023-02-22 13:29:34.961 CET;26306187
2023-02-22 13:29:49.042 CET;26306188
2023-02-22 13:30:02.911 CET;26306189
2023-02-22 13:30:52.770 CET;26306190
2023-02-22 13:31:07.130 CET;26306191
2023-02-22 13:31:20.960 CET;26306192
2023-02-22 13:31:35.049 CET;26306193
2023-02-22 13:31:48.989 CET;26306194
2023-02-22 13:32:03.059 CET;26306195
2023-02-22 13:32:17.049 CET;26306196
2023-02-22 13:32:31.279 CET;26306197
2023-02-22 13:32:44.989 CET;26306198
2023-02-22 13:32:59.338 CET;26306199
2023-02-22 13:33:13.378 CET;26306200
2023-02-22 13:33:47.486 CET;26306201
2023-02-22 13:34:01.296 CET;26306202
2023-02-22 13:34:15.526 CET;26306203
2023-02-22 13:34:29.368 CET;26306204
2023-02-22 13:34:43.726 CET;26306205
2023-02-22 13:34:57.697 CET;26306206
2023-02-22 13:35:11.697 CET;26306207
2023-02-22 13:35:25.686 CET;26306208
2023-02-22 13:35:39.687 CET;26306209
2023-02-22 13:35:53.805 CET;26306210
2023-02-22 13:36:07.865 CET;26306211
2023-02-22 13:36:21.694 CET;26306212
2023-02-22 13:36:35.855 CET;26306213
2023-02-22 13:36:50.115 CET;26306214
2023-02-22 13:37:04.035 CET;26306215
2023-02-22 13:37:18.325 CET;26306216
2023-02-22 13:37:32.335 CET;26306217
2023-02-22 13:37:46.354 CET;26306218
2023-02-22 13:38:00.374 CET;26306219
2023-02-22 13:38:14.342 CET;26306220
2023-02-22 13:38:28.483 CET;26306221
2023-02-22 13:38:42.403 CET;26306222
2023-02-22 13:39:22.122 CET;26306223
2023-02-22 13:39:36.131 CET;26306224
2023-02-22 13:39:50.101 CET;26306225
2023-02-22 13:40:04.171 CET;26306226
2023-02-22 13:40:18.332 CET;26306227
2023-02-22 13:40:48.849 CET;26306228
2023-02-22 13:41:02.829 CET;26306229
2023-02-22 13:41:51.418 CET;26306230
2023-02-22 13:42:05.549 CET;26306231
2023-02-22 13:42:19.538 CET;26306232
2023-02-22 13:42:33.618 CET;26306233
2023-02-22 13:42:47.569 CET;26306234
2023-02-22 13:43:01.588 CET;26306235
2023-02-22 13:43:15.628 CET;26306236
2023-02-22 13:43:29.767 CET;26306237
2023-02-22 13:47:51.342 CET;26306238
2023-02-22 13:48:09.872 CET;26306239
2023-02-22 13:49:00.542 CET;26306240
2023-02-22 13:49:14.352 CET;26306241
2023-02-22 13:49:28.743 CET;26306242
2023-02-22 13:49:42.971 CET;26306243
2023-02-22 13:50:47.262 CET;26306244
2023-02-22 13:51:01.332 CET;26306245
2023-02-22 13:51:15.460 CET;26306246
2023-02-22 13:51:29.460 CET;26306247
2023-02-22 13:51:43.539 CET;26306248
2023-02-22 13:51:57.500 CET;26306249
2023-02-22 13:52:11.459 CET;26306250
2023-02-22 13:53:17.548 CET;26306251
2023-02-22 13:53:31.548 CET;26306252
2023-02-22 13:53:45.586 CET;26306253
2023-02-22 13:53:59.637 CET;26306254
2023-02-22 13:54:13.536 CET;26306255
2023-02-22 13:54:54.835 CET;26306256
2023-02-22 13:55:08.865 CET;26306257
2023-02-22 13:55:23.065 CET;26306258
2023-02-22 13:55:37.065 CET;26306259
2023-02-22 13:55:50.974 CET;26306260
2023-02-22 13:56:05.243 CET;26306261
2023-02-22 13:56:19.144 CET;26306262
2023-02-22 13:56:33.295 CET;26306263
2023-02-22 13:56:47.154 CET;26306264
2023-02-22 13:57:01.323 CET;26306265
2023-02-22 13:57:15.194 CET;26306266
2023-02-22 14:02:34.437 CET;26306267
2023-02-22 14:03:21.585 CET;26306268
2023-02-22 14:03:35.566 CET;26306269
2023-02-22 14:03:49.546 CET;26306270
2023-02-22 14:04:03.707 CET;26306271
2023-02-22 14:04:17.565 CET;26306272
2023-02-22 14:04:31.914 CET;26306273
2023-02-22 14:04:45.726 CET;26306274
2023-02-22 14:04:59.875 CET;26306275
2023-02-22 14:05:13.864 CET;26306276
2023-02-22 14:05:27.944 CET;26306277
2023-02-22 14:05:42.063 CET;26306278
2023-02-22 14:05:56.043 CET;26306279
2023-02-22 14:06:10.104 CET;26306280
2023-02-22 14:06:24.104 CET;26306281
2023-02-22 14:06:38.052 CET;26306282
2023-02-22 14:06:52.223 CET;26306283
2023-02-22 14:07:06.201 CET;26306284
2023-02-22 14:07:20.252 CET;26306285
2023-02-22 14:07:34.421 CET;26306286
2023-02-22 14:07:48.371 CET;26306287
2023-02-22 14:08:02.381 CET;26306288
2023-02-22 14:08:16.510 CET;26306289
2023-02-22 14:08:30.500 CET;26306290
2023-02-22 14:08:44.671 CET;26306291
2023-02-22 14:08:58.711 CET;26306292
2023-02-22 14:09:12.721 CET;26306293
2023-02-22 14:09:26.671 CET;26306294
2023-02-22 14:09:40.671 CET;26306295
2023-02-22 14:09:54.829 CET;26306296
2023-02-22 14:10:09.019 CET;26306297
2023-02-22 14:10:22.960 CET;26306298
2023-02-22 14:10:36.921 CET;26306299
2023-02-22 14:10:51.230 CET;26306300
2023-02-22 14:11:05.161 CET;26306301
2023-02-22 14:11:19.259 CET;26306302
2023-02-22 14:11:33.240 CET;26306303
2023-02-22 14:11:47.078 CET;26306304
2023-02-22 14:12:01.308 CET;26306305
2023-02-22 14:12:15.259 CET;26306306
2023-02-22 14:12:29.259 CET;26306307
2023-02-22 14:12:43.476 CET;26306308
2023-02-22 14:12:57.536 CET;26306309
2023-02-22 14:13:11.556 CET;26306310
2023-02-22 14:13:25.588 CET;26306311
2023-02-22 14:13:39.486 CET;26306312
2023-02-22 14:13:53.805 CET;26306313
2023-02-22 14:14:07.805 CET;26306314
2023-02-22 14:14:21.676 CET;26306315
2023-02-22 14:14:35.576 CET;26306316
2023-02-22 14:14:49.714 CET;26306317
2023-02-22 14:15:03.795 CET;26306318
2023-02-22 14:15:17.904 CET;26306319
2023-02-22 14:15:32.124 CET;26306320
2023-02-22 14:15:46.035 CET;26306321
2023-02-22 14:16:00.194 CET;26306322
2023-02-22 14:16:14.052 CET;26306323
2023-02-22 14:16:28.233 CET;26306324
2023-02-22 14:16:42.364 CET;26306325
2023-02-22 14:16:56.283 CET;26306326
