time;PressSpeed
2023-02-23 13:00:23.191 CET;14
2023-02-23 13:00:23.243 CET;14
2023-02-23 14:47:18.357 CET;14
2023-02-23 14:47:18.407 CET;14
2023-02-23 14:55:11.005 CET;14
2023-02-23 15:00:12.484 CET;14
2023-02-23 15:01:54.526 CET;14
2023-02-23 15:16:02.418 CET;14
2023-02-23 15:49:35.250 CET;8
2023-02-23 15:57:51.230 CET;0
2023-02-23 15:57:52.240 CET;8
2023-02-23 16:07:15.489 CET;17
2023-02-23 22:37:04.976 CET;8
2023-02-23 22:51:01.312 CET;15
2023-02-23 23:05:05.687 CET;8
2023-02-23 23:05:14.727 CET;15
2023-02-23 23:12:11.392 CET;8
2023-02-23 23:12:30.460 CET;15
2023-02-24 00:35:50.447 CET;8
2023-02-24 00:36:32.615 CET;15
2023-02-24 00:36:47.676 CET;8
2023-02-24 00:40:10.492 CET;15
2023-02-24 00:49:23.701 CET;0
2023-02-24 00:49:24.701 CET;8
2023-02-24 00:50:06.871 CET;15
2023-02-24 00:50:36.990 CET;0
2023-02-24 00:50:37.990 CET;8
2023-02-24 00:50:46.029 CET;15
2023-02-24 00:50:53.049 CET;8
2023-02-24 00:50:58.069 CET;15
2023-02-24 00:51:07.109 CET;8
2023-02-24 00:51:15.141 CET;15
2023-02-24 06:41:48.213 CET;0
2023-02-24 06:41:49.213 CET;8
2023-02-24 06:42:56.483 CET;15
2023-02-24 07:01:44.996 CET;8
2023-02-24 07:02:28.167 CET;15
2023-02-24 08:40:42.726 CET;8
2023-02-24 08:40:54.776 CET;15
2023-02-24 08:42:45.214 CET;8
2023-02-24 09:33:27.381 CET;0
2023-02-24 09:33:28.381 CET;18
2023-02-24 11:57:36.944 CET;0
2023-02-24 11:57:37.944 CET;8
2023-02-24 12:06:48.145 CET;17
2023-02-24 19:15:03.846 CET;8
2023-02-24 19:24:30.107 CET;15
2023-02-24 20:18:22.028 CET;0
2023-02-24 20:18:23.028 CET;8
2023-02-24 23:42:07.884 CET;12
2023-02-24 23:43:31.213 CET;8
2023-02-24 23:43:35.233 CET;12
2023-02-24 23:44:05.354 CET;8
2023-02-24 23:44:11.381 CET;12
2023-02-25 01:29:23.609 CET;8
2023-02-25 01:29:32.640 CET;12
2023-02-25 01:29:54.730 CET;8
2023-02-25 02:57:15.683 CET;12
2023-02-25 02:57:41.782 CET;8
2023-02-25 03:04:24.397 CET;0
2023-02-25 03:04:25.397 CET;12
2023-02-25 03:04:52.506 CET;8
2023-02-25 03:11:03.992 CET;12
2023-02-25 03:11:19.051 CET;8
2023-02-26 00:21:46.660 CET;0
2023-02-26 01:05:20.101 CET;8
2023-02-26 04:47:26.352 CET;0
2023-02-27 02:33:44.519 CET;8
2023-02-27 06:34:18.193 CET;12
2023-02-27 07:23:52.075 CET;8
2023-02-27 07:24:08.137 CET;12
2023-02-27 08:10:09.171 CET;8
2023-02-27 08:10:28.252 CET;12
2023-02-27 08:41:12.520 CET;12
2023-02-27 08:43:58.278 CET;8
2023-02-27 08:45:47.714 CET;12
2023-02-27 12:14:26.729 CET;8
2023-02-27 12:14:39.778 CET;14
2023-02-27 13:07:22.209 CET;8
2023-02-27 13:07:25.219 CET;14
2023-02-27 13:14:16.841 CET;8
2023-02-27 14:17:26.890 CET;18
2023-02-27 17:41:59.260 CET;8
2023-02-27 17:49:58.183 CET;0
